title,extended_title,img_link,gsmarena_link
Galaxy M05,"Samsung Galaxy M05 Android smartphone. Announced Sep 2024. Features 6.7″  display, Helio G85 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m05.jpg,https://www.gsmarena.com/samsung_galaxy_m05-13327.php
Galaxy A06,"Samsung Galaxy A06 Android smartphone. Announced Aug 2024. Features 6.7″  display, Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a06-1.jpg,https://www.gsmarena.com/samsung_galaxy_a06-13265.php
Galaxy F14 4G,"Samsung Galaxy F14 4G Android smartphone. Announced Aug 2024. Features 6.7″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f14-4g.jpg,https://www.gsmarena.com/samsung_galaxy_f14_4g-13247.php
Galaxy Z Fold6,"Samsung Galaxy Z Fold6 Android smartphone. Announced Jul 2024. Features 7.6″  display, Snapdragon 8 Gen 3 chipset, 4400 mAh battery, 1024 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold6.jpg,https://www.gsmarena.com/samsung_galaxy_z_fold6-13147.php
Galaxy Z Flip6,"Samsung Galaxy Z Flip6 Android smartphone. Announced Jul 2024. Features 6.7″  display, Snapdragon 8 Gen 3 chipset, 4000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip6.jpg,https://www.gsmarena.com/samsung_galaxy_z_flip6-13192.php
Galaxy Watch Ultra,"Samsung Galaxy Watch Ultra Android watch. Announced Jul 2024. Features 1.5″  display, Exynos W1000 chipset, 590 mAh battery, 32 GB storage, 2 GB RAM, MIL-STD 810H certified, Sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-ultra.jpg,https://www.gsmarena.com/samsung_galaxy_watch_ultra-13127.php
Galaxy Watch7,"Samsung Galaxy Watch7 Android watch. Announced Jul 2024. Features 1.5″  display, Exynos W1000 chipset, 425 mAh battery, 32 GB storage, 2 GB RAM, MIL-STD-810H compliant, Sapphire crystal.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch7.jpg,https://www.gsmarena.com/samsung_galaxy_watch7-13128.php
Galaxy Watch FE,"Samsung Galaxy Watch FE Android watch. Announced Jun 2024. Features 1.2″  display, Exynos W920 chipset, 247 mAh battery, 16 GB storage, 1.5 GB RAM, MIL-STD-810H compliant, Sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-fe-r.jpg,https://www.gsmarena.com/samsung_galaxy_watch_fe-13112.php
Galaxy M35,"Samsung Galaxy M35 Android smartphone. Announced May 2024. Features 6.6″  display, Exynos 1380 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM, Unspecified.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m35-.jpg,https://www.gsmarena.com/samsung_galaxy_m35-13006.php
Galaxy F55,"Samsung Galaxy F55 Android smartphone. Announced May 2024. Features 6.7″  display, Snapdragon 7 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f55.jpg,https://www.gsmarena.com/samsung_galaxy_f55-12885.php
