title,extended_title,img_link,gsmarena_link
X2,"Sendo X2 Symbian smartphone. Announced Q1 2005. Features 2.2″  display, TI OMAP 5910 chipset, 1.3 MP primary camera, 720 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sex2.gif,https://www.gsmarena.com/sendo_x2-1065.php
S1,"Sendo S1 phone. Announced Q1 2005. Features  display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ses1.gif,https://www.gsmarena.com/sendo_s1-1066.php
K1,"Sendo K1 phone. Announced Q1 2005. Features 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sek1.gif,https://www.gsmarena.com/sendo_k1-1067.php
P600,"Sendo P600 phone. Announced Q3 2004. Features TFT, 65K colors display, 570 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sep600.gif,https://www.gsmarena.com/sendo_p600-875.php
SV663,"Sendo SV663 phone. Announced Q3 2004. Features CSTN, 65K colors display, 800 mAh battery, 3 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif,https://www.gsmarena.com/sendo_sv663-943.php
M570,"Sendo M570 phone. Announced Q1 2004. Features UFB, 65K colors display, 600 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sem570.gif,https://www.gsmarena.com/sendo_m570-680.php
S600,"Sendo S600 phone. Announced Q1 2004. Features TFT, 65K colors display, 1300 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ses600.gif,https://www.gsmarena.com/sendo_s600-679.php
X,"Sendo X Symbian smartphone. Announced Q4 2003. Features 2.2″  display, TI OMAP 5910 chipset, 1050 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sex.gif,https://www.gsmarena.com/sendo_x-560.php
S360,"Sendo S360 phone. Announced Q4 2004. Features CSTN, 65K colors display, 730 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ses360.gif,https://www.gsmarena.com/sendo_s360-913.php
S330,"Sendo S330 phone. Announced Q4 2003. Features CSTN, 4096 colors display, 760 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ses330.gif,https://www.gsmarena.com/sendo_s330-572.php
S300,"Sendo S300 phone. Announced Q1 2003. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ses300.gif,https://www.gsmarena.com/sendo_s300-530.php
M550,"Sendo M550 phone. Announced Q2 2003. Features CSTN, 4096 colors display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sem550.gif,https://www.gsmarena.com/sendo_m550-393.php
Z100,"Sendo Z100 phone. Never. Features 2.2″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sez100.gif,https://www.gsmarena.com/sendo_z100-228.php
J530,"Sendo J530 phone. Announced Feb 2002. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sej530.gif,https://www.gsmarena.com/sendo_j530-472.php
J520,"Sendo J520 phone. Announced Q4 2001. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sej520.gif,https://www.gsmarena.com/sendo_j520-275.php
S230,"Sendo S230 phone. Announced Feb 2002. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ses230.gif,https://www.gsmarena.com/sendo_s230-471.php
P200,"Sendo P200 phone. Announced Q3 2001. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sep200.gif,https://www.gsmarena.com/sendo_p200-274.php
S200,"Sendo S200 phone. Announced Q2 2001. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ses200.gif,https://www.gsmarena.com/sendo_s200-227.php
D800,"Sendo D800 phone. Announced  2000. Features Monochrome graphic display, 830 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sed800.gif,https://www.gsmarena.com/sendo_d800-218.php
