title,extended_title,img_link,gsmarena_link
SRS-3300,"Sewon SRS-3300 phone. Announced Q1 2005. Features TFT, 256K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif,https://www.gsmarena.com/sewon_srs_3300-1004.php
SRD-3000,"Sewon SRD-3000 phone. Announced Q2 2004. Features TFT, 256K colors display, 1050 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif,https://www.gsmarena.com/sewon_srd_3000-798.php
SRD-200,"Sewon SRD-200 phone. Announced Q2 2004. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif,https://www.gsmarena.com/sewon_srd_200-797.php
SGD-1050,"Sewon SGD-1050 phone. Announced Q2 2004. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif,https://www.gsmarena.com/sewon_sgd_1050-796.php
SGD-1030,"Sewon SGD-1030 phone. Announced Q2 2004. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif,https://www.gsmarena.com/sewon_sgd_1030-795.php
SGD-1020,"Sewon SGD-1020 phone. Announced Q2 2004. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif,https://www.gsmarena.com/sewon_sgd_1020-794.php
SGD-1010,"Sewon SGD-1010 phone. Announced Q1 2004. Features STN, 65K colors display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif,https://www.gsmarena.com/sewon_sgd_1010-781.php
SGD-1000,"Sewon SGD-1000 phone. Announced Q1 2004. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif,https://www.gsmarena.com/sewon_sgd_1000-780.php
SGD-106,"Sewon SGD-106 phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif,https://www.gsmarena.com/sewon_sgd_106-763.php
SGD-105,"Sewon SGD-105 phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif,https://www.gsmarena.com/sewon_sgd_105-762.php
SGD-102,"Sewon SGD-102 phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd102.gif,https://www.gsmarena.com/sewon_sgd_102-749.php
SGD-101,"Sewon SGD-101 phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swsgd101.gif,https://www.gsmarena.com/sewon_sgd_101-746.php
SG-2890CD,"Sewon SG-2890CD phone. Announced Q1 2004. Features CSTN, 256 colors display, 780 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2890cd.gif,https://www.gsmarena.com/sewon_sg_2890cd-745.php
SG-2320CD,"Sewon SG-2320CD phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2320cd.gif,https://www.gsmarena.com/sewon_sg_2320cd-741.php
SG-2300CD,"Sewon SG-2300CD phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2300cd.gif,https://www.gsmarena.com/sewon_sg_2300cd-740.php
SG-2200CD,"Sewon SG-2200CD phone. Announced Q1 2004. Features CSTN, 256 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2200cd.gif,https://www.gsmarena.com/sewon_sg_2200cd-739.php
SG-2880CS,"Sewon SG-2880CS phone. Announced Q1 2004. Features STN, 256 colors display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2880cs.gif,https://www.gsmarena.com/sewon_sg_2880cs-628.php
SG-2100CS,"Sewon SG-2100CS phone. Announced Q1 2004. Features STN, 256 colors display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2100cs.gif,https://www.gsmarena.com/sewon_sg_2100cs-627.php
SG-2000CS,"Sewon SG-2000CS phone. Announced Q1 2004. Features STN, 256 colors display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2000cs.gif,https://www.gsmarena.com/sewon_sg_2000cs-626.php
SG-P100,"Sewon SG-P100 phone. Announced Q1 2004. Features STN, 256 colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/swp100.gif,https://www.gsmarena.com/sewon_sg_p100-617.php
SG-5000,"Sewon SG-5000 phone. Announced  2002. Features Grayscale graphic, 4 shades display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw5000.gif,https://www.gsmarena.com/sewon_sg_5000-667.php
SG-4500,"Sewon SG-4500 phone. Announced  2002. Features STN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw4500.gif,https://www.gsmarena.com/sewon_sg_4500-613.php
SG-2200,"Sewon SG-2200 phone. Announced  2002. Features Grayscale graphics, 4 shades display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2200.gif,https://www.gsmarena.com/sewon_sg_2200-612.php
SG-2000,"Sewon SG-2000 phone. Announced  2002. Features Grayscale graphics, 4 shades display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw2000.gif,https://www.gsmarena.com/sewon_sg_2000-611.php
SG-1000,"Sewon SG-1000 phone. Features Monochrome graphic display, 730 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sw1000.gif,https://www.gsmarena.com/sewon_sg_1000-610.php
