title,extended_title,img_link,gsmarena_link
Aquos sense8,"Sharp Aquos sense8 Android smartphone. Announced Jan 2024. Features 6.1″  display, Snapdragon 6 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense8.jpg,https://www.gsmarena.com/sharp_aquos_sense8-12904.php
Aquos R8s,"Sharp Aquos R8s Android smartphone. Announced Dec 2023. Features 6.4″  display, Snapdragon 8 Gen 2 chipset, 4750 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s.jpg,https://www.gsmarena.com/sharp_aquos_r8s-12903.php
Aquos R8s pro,"Sharp Aquos R8s pro Android smartphone. Announced Dec 2023. Features 6.6″  display, Snapdragon 8 Gen 2 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s-pro-.jpg,https://www.gsmarena.com/sharp_aquos_r8s_pro-12902.php
Aquos R7s,"Sharp Aquos R7s Android smartphone. Announced Jul 2023. Features 6.6″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r7s.jpg,https://www.gsmarena.com/sharp_aquos_r7s-12605.php
Aquos V7 Plus,"Sharp Aquos V7 Plus Android smartphone. Announced Jul 2023. Features 6.74″  display, MT6765 Helio G37 chipset, 5010 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v7-plus.jpg,https://www.gsmarena.com/sharp_aquos_v7_plus-12606.php
Aquos sense7 plus,"Sharp Aquos sense7 plus Android smartphone. Announced Aug 2023. Features 6.4″  display, Snapdragon 695 5G chipset, 5050 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7-plus.jpg,https://www.gsmarena.com/sharp_aquos_sense7_plus-12565.php
Aquos sense7,"Sharp Aquos sense7 Android smartphone. Announced Aug 2023. Features 6.1″  display, Snapdragon 695 5G chipset, 4570 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7.jpg,https://www.gsmarena.com/sharp_aquos_sense7-12564.php
Aquos V6 Plus,"Sharp Aquos V6 Plus Android smartphone. Announced Feb 2022. Features 6.52″  display, MT6762G Helio G25 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6plus.jpg,https://www.gsmarena.com/sharp_aquos_v6_plus-11868.php
Aquos V6,"Sharp Aquos V6 Android smartphone. Announced Feb 2022. Features 6.52″  display, MT6762G Helio G25 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6.jpg,https://www.gsmarena.com/sharp_aquos_v6-11867.php
Aquos wish,"Sharp Aquos wish Android smartphone. Announced Jan 2022. Features 5.7″  display, Snapdragon 480 5G chipset, 3730 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish.jpg,https://www.gsmarena.com/sharp_aquos_wish-11847.php
Aquos zero6,"Sharp Aquos zero6 Android smartphone. Announced Oct 2021. Features 6.4″  display, Snapdragon 750G 5G chipset, 4010 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero6.jpg,https://www.gsmarena.com/sharp_aquos_zero6-11846.php
Aquos sense5G,"Sharp Aquos sense5G Android smartphone. Announced Sep 2020. Features 5.8″  display, Snapdragon 690 5G chipset, 4570 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense5g.jpg,https://www.gsmarena.com/sharp_aquos_sense5g-11845.php
Aquos sense4 plus,"Sharp Aquos sense4 plus Android smartphone. Announced Sep 2020. Features 6.7″  display, Snapdragon 720G chipset, 4120 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense4plus.jpg,https://www.gsmarena.com/sharp_aquos_sense4_plus-11844.php
Aquos Zero 2,"Sharp Aquos Zero 2 Android smartphone. Announced May 2020. Features 6.4″  display, Snapdragon 855 chipset, 3130 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg,https://www.gsmarena.com/sharp_aquos_zero_2-10259.php
Aquos R5G,"Sharp Aquos R5G Android smartphone. Announced Feb 2020. Features 6.4″  display, Snapdragon 865 5G chipset, 3730 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosr5g.jpg,https://www.gsmarena.com/sharp_aquos_r5g-11843.php
Aquos V,"Sharp Aquos V Android smartphone. Announced Nov 2019. Features 5.9″  display, Snapdragon 835 chipset, 3090 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg,https://www.gsmarena.com/sharp_aquos_v-9962.php
Aquos R3,"Sharp Aquos R3 Android smartphone. Announced Aug 2019. Features 6.2″  display, Snapdragon 855 chipset, 3200 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosa3.jpg,https://www.gsmarena.com/sharp_aquos_r3-11839.php
Aquos Zero,"Sharp Aquos Zero Android smartphone. Announced Jan 2019. Features 6.2″  display, Snapdragon 845 chipset, 3130 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero.jpg,https://www.gsmarena.com/sharp_aquos_zero-9512.php
