title,extended_title,img_link,gsmarena_link
AL21,"Siemens AL21 phone. Announced Nov 2005. Features TFT, 65K colors display, 600 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif,https://www.gsmarena.com/siemens_al21-1379.php
A31,"Siemens A31 phone. Announced Nov 2005. Features CSTN, 65K colors display, 820 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif,https://www.gsmarena.com/siemens_a31-1378.php
AF51,"Siemens AF51 phone. Announced Nov 2005. Features CSTN, 65K colors display, 620 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif,https://www.gsmarena.com/siemens_af51-1377.php
ME75,"Siemens ME75 phone. Announced Oct 2005. Features TFT, 65K colors display, 1000 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif,https://www.gsmarena.com/siemens_me75-1324.php
AP75,"Siemens AP75 phone. Announced Oct 2005. Features CSTN, 65K colors display, 860 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif,https://www.gsmarena.com/siemens_ap75-1326.php
AX72,"Siemens AX72 phone. Announced Oct 2005. Features CSTN, 65K colors display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif,https://www.gsmarena.com/siemens_ax72-1327.php
SG75,"Siemens SG75 phone. Announced Sep 2005. Features 2.0″  display, 1.3 MP primary camera, 920 mAh battery, 70 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif,https://www.gsmarena.com/siemens_sg75-1288.php
SFG75,"Siemens SFG75 phone. Announced Sep 2005. Features 2.0″  display, 1.3 MP primary camera, 840 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif,https://www.gsmarena.com/siemens_sfg75-1289.php
CC75,"Siemens CC75 phone. Announced Aug 2005. Features TFT, 65K colors display, 800 mAh battery, 3 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif,https://www.gsmarena.com/siemens_cc75-1247.php
CF110,"Siemens CF110 phone. Announced Aug 2005. Features TFT, 65K colors display, 600 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif,https://www.gsmarena.com/siemens_cf110-1248.php
C72,"Siemens C72 phone. Announced Aug 2005. Features CSTN, 65K colors display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/siemens-c72.gif,https://www.gsmarena.com/siemens_c72-1259.php
S75,"Siemens S75 phone. Announced Q2 2005. Features 1.9″  display, 1.3 MP primary camera, 820 mAh battery, 20 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/siemens-s75.gif,https://www.gsmarena.com/siemens_s75-1212.php
