title,extended_title,img_link,gsmarena_link
XP5plus,"Sonim XP5plus smartphone. Announced Jul 2022. Features 2.8″  display, Snapdragon 662 chipset, 3500 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5plus.jpg,https://www.gsmarena.com/sonim_xp5plus-11710.php
XP3plus,"Sonim XP3plus smartphone. Announced Sep 2021. Features 2.8″  display, Snapdragon 662 chipset, 2300 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3plus.jpg,https://www.gsmarena.com/sonim_xp3plus-11707.php
XP3,"Sonim XP3 smartphone. Announced Mar 2019. Features 2.6″  display, Snapdragon 210 chipset, 1500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-2019-th.jpg,https://www.gsmarena.com/sonim_xp3-11708.php
XP5s,"Sonim XP5s smartphone. Announced Dec 2018. Features 2.64″  display, Snapdragon 427 chipset, 3180 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 1.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5s.jpg,https://www.gsmarena.com/sonim_xp5s-11709.php
XP8,"Sonim XP8 Android smartphone. Announced Apr 2018. Features 5.0″  display, Snapdragon 630 chipset, 12 MP primary camera, 8 MP front camera, 4900 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg,https://www.gsmarena.com/sonim_xp8-9147.php
XP7,"Sonim XP7 Android smartphone. Announced Nov 2014. Features 4.0″  display, Snapdragon 400 chipset, 8 MP primary camera, 1 MP front camera, 4800 mAh battery, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg,https://www.gsmarena.com/sonim_xp7-6828.php
XP6,"Sonim XP6 Android smartphone. Announced Nov 2014. Features 2.63″  display, Snapdragon 400 chipset, 5 MP primary camera, 4800 mAh battery, 16 GB storage, 1000 MB RAM, MIL-STD-810G compliant, Yes.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg,https://www.gsmarena.com/sonim_xp6-7224.php
XP3400 Armor,"Sonim XP3400 Armor phone. Announced Q3 2011. Features 2.0″  display, QSC6085 chipset, 2 MP primary camera, 1750 mAh battery, MIL-STD-810G compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg,https://www.gsmarena.com/sonim_xp3400_armor-4256.php
XP5300 Force 3G,"Sonim XP5300 Force 3G phone. Announced Aug 2011. Features 2.0″  display, 2 MP primary camera, 1950 mAh battery, MIL-STD-810G compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg,https://www.gsmarena.com/sonim_xp5300_force_3g-4255.php
XP3340 Sentinel,"Sonim XP3340 Sentinel smartphone. Announced Aug 2011. Features 2.0″  display, 2 MP primary camera, 1750 mAh battery, MIL-STD-810G compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg,https://www.gsmarena.com/sonim_xp3340_sentinel-4254.php
XP3300 Force,"Sonim XP3300 Force smartphone. Announced Feb 2011. Features 2.0″  display, 2 MP primary camera, 1750 mAh battery, MIL-STD-810G compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3300-force.jpg,https://www.gsmarena.com/sonim_xp3300_force-3792.php
XP1300 Core,"Sonim XP1300 Core smartphone. Announced Oct 2010. Features 2.0″  display, 1750 mAh battery, MIL-STD-810F compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1300-core.jpg,https://www.gsmarena.com/sonim_xp1300_core-3546.php
XP3 Sentinel,"Sonim XP3 Sentinel phone. Announced Jul 2010. Features TFT, 65K colors display, Philips Nexperia 5210 chipset, 2 MP primary camera, 1850 mAh battery, MIL-STD-810G compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-sentinel.jpg,https://www.gsmarena.com/sonim_xp3_sentinel-3417.php
XP2.10 Spirit,"Sonim XP2.10 Spirit phone. Announced Feb 2010. Features 2.0″  display, 3.15 MP primary camera, 1300 mAh battery, 40 MB storage, MIL-STD-810D compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp2.10-spirit-new.jpg,https://www.gsmarena.com/sonim_xp2_10_spirit-3009.php
XP3.20 Quest Pro,"Sonim XP3.20 Quest Pro phone. Announced Jan 2010. Features 1.77″  display, 2 MP primary camera, 1850 mAh battery, MIL-STD-810F compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg,https://www.gsmarena.com/sonim_xp3_20_quest_pro-3461.php
XP3.20 Quest,"Sonim XP3.20 Quest phone. Announced Jul 2009. Features 1.77″  display, 2 MP primary camera, 1850 mAh battery, MIL-STD-810F compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg,https://www.gsmarena.com/sonim_xp3_20_quest-2881.php
XP3 Enduro,"Sonim XP3 Enduro phone. Announced Nov 2008. Features 1.77″  display, 1180 mAh battery, MIL-STD-810F compliant.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3.jpg,https://www.gsmarena.com/sonim_xp3_enduro-2614.php
XP1,"Sonim XP1 phone. Announced Dec 2007. Features 1.77″  display, 1000 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1.jpg,https://www.gsmarena.com/sonim_xp1-2476.php
