title,extended_title,img_link,gsmarena_link
Xperia Arc S,"Sony Ericsson Xperia Arc S Android smartphone. Announced Aug 2011. Features 4.2″  display, Snapdragon S2 chipset, 8 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg,https://www.gsmarena.com/sony_ericsson_xperia_arc_s-4134.php
Xperia neo V,"Sony Ericsson Xperia neo V Android smartphone. Announced Aug 2011. Features 3.7″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg,https://www.gsmarena.com/sony_ericsson_xperia_neo_v-4122.php
Live with Walkman,"Sony Ericsson Live with Walkman Android smartphone. Announced Aug 2011. Features 3.2″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 320 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg,https://www.gsmarena.com/sony_ericsson_live_with_walkman-4111.php
Xperia ray,"Sony Ericsson Xperia ray Android smartphone. Announced Jun 2011. Features 3.3″  display, Snapdragon S2 chipset, 8 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg,https://www.gsmarena.com/sony_ericsson_xperia_ray-3972.php
Xperia active,"Sony Ericsson Xperia active Android smartphone. Announced Jun 2011. Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg,https://www.gsmarena.com/sony_ericsson_xperia_active-3998.php
txt,"Sony Ericsson txt phone. Announced Jun 2011. Features 2.55″  display, 3.15 MP primary camera, 1000 mAh battery, 120 MB storage, 64 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg,https://www.gsmarena.com/sony_ericsson_txt-3999.php
Mix Walkman,"Sony Ericsson Mix Walkman phone. Announced Jun 2011. Features 3.0″  display, 3.15 MP primary camera, 1000 mAh battery, 256 MB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg,https://www.gsmarena.com/sony_ericsson_mix_walkman-3984.php
txt pro,"Sony Ericsson txt pro phone. Announced Jun 2011. Features 3.0″  display, 3.15 MP primary camera, 1000 mAh battery, 100 MB storage, 64 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg,https://www.gsmarena.com/sony_ericsson_txt_pro-3983.php
Xperia mini,"Sony Ericsson Xperia mini Android smartphone. Announced May 2011. Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 320 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg,https://www.gsmarena.com/sony_ericsson_xperia_mini-3947.php
Xperia mini pro,"Sony Ericsson Xperia mini pro Android smartphone. Announced May 2011. Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 400 MB storage, 512 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg,https://www.gsmarena.com/sony_ericsson_xperia_mini_pro-3713.php
WT18i,"Sony Ericsson WT18i Android smartphone. Announced May 2011. Features 3.2″  display, 3.15 MP primary camera, 1200 mAh battery, 150 MB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-wt18i.jpg,https://www.gsmarena.com/sony_ericsson_wt18i-3948.php
W8,"Sony Ericsson W8 Android smartphone. Announced Apr 2011. Features 3.0″  display, Snapdragon S1 chipset, 3.15 MP primary camera, 1200 mAh battery, 128 MB storage, 168 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/se-w8.jpg,https://www.gsmarena.com/sony_ericsson_w8-3935.php
Xperia PLAY,"Sony Ericsson Xperia PLAY Android smartphone. Announced Feb 2011. Features 4.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 400 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-Play-ofic.jpg,https://www.gsmarena.com/sony_ericsson_xperia_play-3608.php
