title,extended_title,img_link,gsmarena_link
Xperia 1 VI,"Sony Xperia 1 VI Android smartphone. Announced May 2024. Features 6.5″  display, Snapdragon 8 Gen 3 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vi.jpg,https://www.gsmarena.com/sony_xperia_1_vi-13003.php
Xperia 10 VI,"Sony Xperia 10 VI Android smartphone. Announced May 2024. Features 6.1″  display, Snapdragon 6 Gen 1 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vi.jpg,https://www.gsmarena.com/sony_xperia_10_vi-13002.php
Xperia 5 V,"Sony Xperia 5 V Android smartphone. Announced Sep 2023. Features 6.1″  display, Snapdragon 8 Gen 2 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-v-new.jpg,https://www.gsmarena.com/sony_xperia_5_v-12534.php
Xperia 1 V,"Sony Xperia 1 V Android smartphone. Announced May 2023. Features 6.5″  display, Snapdragon 8 Gen 2 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-v.jpg,https://www.gsmarena.com/sony_xperia_1_v-12263.php
Xperia 10 V,"Sony Xperia 10 V Android smartphone. Announced May 2023. Features 6.1″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-v-10.jpg,https://www.gsmarena.com/sony_xperia_10_v-12264.php
Xperia 5 IV,"Sony Xperia 5 IV Android smartphone. Announced Sep 2022. Features 6.1″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iv-ofic.jpg,https://www.gsmarena.com/sony_xperia_5_iv-11838.php
Xperia 1 IV,"Sony Xperia 1 IV Android smartphone. Announced May 2022. Features 6.5″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iv-.jpg,https://www.gsmarena.com/sony_xperia_1_iv-11521.php
Xperia 10 IV,"Sony Xperia 10 IV Android smartphone. Announced May 2022. Features 6.0″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iv.jpg,https://www.gsmarena.com/sony_xperia_10_iv-11522.php
Xperia Pro-I,"Sony Xperia Pro-I Android smartphone. Announced Oct 2021. Features 6.5″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-i.jpg,https://www.gsmarena.com/sony_xperia_pro_i-11174.php
Xperia 10 III Lite,"Sony Xperia 10 III Lite Android smartphone. Announced Aug 2021. Features 6.0″  display, Snapdragon 690 5G chipset, 4500 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii-lite.jpg,https://www.gsmarena.com/sony_xperia_10_iii_lite-11064.php
Xperia 1 III,"Sony Xperia 1 III Android smartphone. Announced Apr 2021. Features 6.5″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iii.jpg,https://www.gsmarena.com/sony_xperia_1_iii-10712.php
