title,extended_title,img_link,gsmarena_link
Smart Pulse (M-9010),"Spice Smart Pulse (M-9010) watch. Announced Jul 2014. Features 1.6″  display, MT6260 chipset, 420 mAh battery, 64 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-9010.jpg,https://www.gsmarena.com/spice_smart_pulse_(m_9010)-7005.php
Fire One (Mi-FX-1),"Spice Fire One (Mi-FX-1) smartphone. Announced Aug 2014. Features 3.5″  display, Spreadtrum 6821 chipset, 1.3 MP primary camera, 1400 mAh battery, 256 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-firefox.jpg,https://www.gsmarena.com/spice_fire_one_(mi_fx_1)-7004.php
N-300,"Spice N-300 Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6571 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/N300.jpg,https://www.gsmarena.com/spice_n_300-7003.php
Smart Flo 508 (Mi-508),"Spice Smart Flo 508 (Mi-508) Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6571 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-508.jpg,https://www.gsmarena.com/spice_smart_flo_508_(mi_508)-7002.php
Smart Flo 503 (Mi-503),"Spice Smart Flo 503 (Mi-503) Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6571 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-503.jpg,https://www.gsmarena.com/spice_smart_flo_503_(mi_503)-7001.php
Smart Flo 359 (Mi-359),"Spice Smart Flo 359 (Mi-359) Android smartphone. Announced Aug 2014. Features 3.5″  display, MT6571 chipset, 2 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-359.jpg,https://www.gsmarena.com/spice_smart_flo_359_(mi_359)-7000.php
Smart Flo 358 (Mi-358),"Spice Smart Flo 358 (Mi-358) Android smartphone. Announced Oct 2014. Features 3.5″  display, MT6571 chipset, 2 MP primary camera, 1.3 MP front camera, 1450 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-358.jpg,https://www.gsmarena.com/spice_smart_flo_358_(mi_358)-6999.php
Stellar 439 (Mi-439),"Spice Stellar 439 (Mi-439) Android smartphone. Announced Aug 2014. Features 4.0″  display, MT6572M chipset, 3.15 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-439.jpg,https://www.gsmarena.com/spice_stellar_439_(mi_439)-6998.php
Stellar 361 (Mi-361),"Spice Stellar 361 (Mi-361) Android smartphone. Announced Jul 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-361.jpg,https://www.gsmarena.com/spice_stellar_361_(mi_361)-6997.php
Stellar 507 (Mi-507),"Spice Stellar 507 (Mi-507) Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6572 chipset, 8 MP primary camera, 1.3 MP front camera, 1800 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/spice-507.jpg,https://www.gsmarena.com/spice_stellar_507_(mi_507)-6996.php
