title,extended_title,img_link,gsmarena_link
50 Pro NxtPaper,"TCL 50 Pro NxtPaper Android smartphone. Announced Sep 2024. Features 6.8″  display, Dimensity 6300 chipset, 5010 mAh battery, 512 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-pro-nxtpaper.jpg,https://www.gsmarena.com/tcl_50_pro_nxtpaper-13300.php
50 NxtPaper,"TCL 50 NxtPaper Android smartphone. Announced Sep 2024. Features 6.8″  display, Dimensity 6300 chipset, 5010 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-nxtpaper.jpg,https://www.gsmarena.com/tcl_50_nxtpaper-13301.php
50 XE NxtPaper,"TCL 50 XE NxtPaper Android smartphone. Announced Jun 2024. Features 6.56″  display, Dimensity 6100+ chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-nxtpaper.jpg,https://www.gsmarena.com/tcl_50_xe_nxtpaper-13302.php
NxtPaper 14,"TCL NxtPaper 14 Android tablet. Announced Feb 2024. Features 12.2″  display, Helio G99 chipset, 10000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-14.jpg,https://www.gsmarena.com/tcl_nxtpaper_14-13296.php
Tab 10 NxtPaper,"TCL Tab 10 NxtPaper Android tablet. Announced Feb 2024. Features 10.4″  display, MediaTek 24E chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-nxtpaper-5g.jpg,https://www.gsmarena.com/tcl_tab_10_nxtpaper-13295.php
Tab 10L Gen 3,"TCL Tab 10L Gen 3 Android tablet. Announced Jul 2024. Features 10.1″  display, MT8768V chipset, 6000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen3.jpg,https://www.gsmarena.com/tcl_tab_10l_gen_3-13299.php
50 XL NxtPaper,"TCL 50 XL NxtPaper Android smartphone. Announced Jun 2024. Features 6.78″  display, Dimensity 6100+ chipset, 5010 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-nxtpaper-5g.jpg,https://www.gsmarena.com/tcl_50_xl_nxtpaper-13173.php
50 XL,"TCL 50 XL Android smartphone. Announced Jun 2024. Features 6.78″  display, Dimensity 6100+ chipset, 5010 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-5g.jpg,https://www.gsmarena.com/tcl_50_xl-13174.php
50 XE,"TCL 50 XE Android smartphone. Announced Jun 2024. Features 6.56″  display, Dimensity 6100+ chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-5g.jpg,https://www.gsmarena.com/tcl_50_xe-13175.php
50 LE,"TCL 50 LE Android smartphone. Announced Jun 2024. Features 6.6″  display, Dimensity 700 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-le.jpg,https://www.gsmarena.com/tcl_50_le-13176.php
50 5G,"TCL 50 5G Android smartphone. Announced Feb 2024. Features 6.6″  display, Dimensity 6100+ chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-5g-.jpg,https://www.gsmarena.com/tcl_50_5g-12842.php
50 SE,"TCL 50 SE Android smartphone. Announced Feb 2024. Features 6.78″  display, Helio G88 chipset, 5010 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-50-se-.jpg,https://www.gsmarena.com/tcl_50_se-12841.php
501,"TCL 501 Android smartphone. Announced Feb 2024. Features 6.0″  display, Helio G36 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-501.jpg,https://www.gsmarena.com/tcl_501-12840.php
505,"TCL 505 Android smartphone. Announced Feb 2024. Features 6.75″  display, Helio G36 chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-505.jpg,https://www.gsmarena.com/tcl_505-12823.php
Tab 10L Gen2,"TCL Tab 10L Gen2 Android tablet. Announced Aug 2023. Features 10.1″  display, MT8766B chipset, 6000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen2.jpg,https://www.gsmarena.com/tcl_tab_10l_gen2-12538.php
Tab 10 Gen2,"TCL Tab 10 Gen2 Android tablet. Announced Aug 2023. Features 10.36″  display, MT6762 Helio P22T chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-gen2.jpg,https://www.gsmarena.com/tcl_tab_10_gen2-12537.php
40 NxtPaper 5G,"TCL 40 NxtPaper 5G Android smartphone. Announced Aug 2023. Features 6.6″  display, Dimensity 6020 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-nxtpaper-5g.jpg,https://www.gsmarena.com/tcl_40_nxtpaper_5g-12536.php
40 NxtPaper,"TCL 40 NxtPaper Android smartphone. Announced Aug 2023. Features 6.78″  display, MT6769H Helio G88 chipset, 5010 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-nxtpaper.jpg,https://www.gsmarena.com/tcl_40_nxtpaper-12535.php
40 XL,"TCL 40 XL Android smartphone. Announced Feb 2023. Features 6.75″  display, MT6765 Helio G37 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xl-.jpg,https://www.gsmarena.com/tcl_40_xl-12142.php
40 X,"TCL 40 X Android smartphone. Announced Feb 2023. Features 6.56″  display, Dimensity 700 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-x-.jpg,https://www.gsmarena.com/tcl_40_x-12143.php
40 XE,"TCL 40 XE Android smartphone. Announced Feb 2023. Features 6.56″  display, Dimensity 700 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xe-.jpg,https://www.gsmarena.com/tcl_40_xe-12144.php
Tab 11,"TCL Tab 11 Android tablet. Announced Feb 2023. Features 10.95″  display, MT8183 Helio P60T chipset, 8000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg,https://www.gsmarena.com/tcl_tab_11-12146.php
NxtPaper 11,"TCL NxtPaper 11 Android tablet. Announced Feb 2023. Features 10.95″  display, MT8183 Helio P60T chipset, 8000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg,https://www.gsmarena.com/tcl_nxtpaper_11-12145.php
406,"TCL 406 Android smartphone. Announced Feb 2023. Features 6.6″  display, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-406.jpg,https://www.gsmarena.com/tcl_406-12147.php
Ion X,"TCL Ion X Android smartphone. Announced Jan 2023. Features 6.0″  display, MT6762G Helio G25 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-ion-x.jpg,https://www.gsmarena.com/tcl_ion_x-12095.php
40 SE,"TCL 40 SE Android smartphone. Announced Jan 2023. Features 6.75″  display, MT6765 Helio G37 chipset, 5010 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40-se.jpg,https://www.gsmarena.com/tcl_40_se-12058.php
408,"TCL 408 Android smartphone. Announced Jan 2023. Features 6.6″  display, MT6762G Helio G25 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-408.jpg,https://www.gsmarena.com/tcl_408-12060.php
403,"TCL 403 Android smartphone. Announced Jan 2023. Features 6.0″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-403.jpg,https://www.gsmarena.com/tcl_403-12061.php
NxtPaper 12 Pro,"TCL NxtPaper 12 Pro Android tablet. Announced Jan 2023. Features 12.2″  display, MT8771 chipset, 8000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-12-pro.jpg,https://www.gsmarena.com/tcl_nxtpaper_12_pro-12062.php
405,"TCL 405 Android smartphone. Announced Nov 2022. Features 6.6″  display, MT6762G Helio G25 chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-405.jpg,https://www.gsmarena.com/tcl_405-11987.php
30 XL,"TCL 30 XL Android smartphone. Announced Jun 2022. Features 6.82″  display, MT6762V Helio A25 chipset, 5000 mAh battery, 64 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-30-xl.jpg,https://www.gsmarena.com/tcl_30_xl-11983.php
40R,"TCL 40R Android smartphone. Announced Oct 2022. Features 6.6″  display, Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-40r-5g.jpg,https://www.gsmarena.com/tcl_40r-11971.php
Stylus,"TCL Stylus Android smartphone. Announced Jun 2022. Features 6.81″  display, Dimensity 700 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM, NEG.",https://fdn2.gsmarena.com/vv/bigpic/tcl-stylus-5g.jpg,https://www.gsmarena.com/tcl_stylus-11604.php
Tab 10s 5G,"TCL Tab 10s 5G Android tablet. Announced Feb 2022. Features 10.1″  display, MT8771 chipset, 8000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10s-5g.jpg,https://www.gsmarena.com/tcl_tab_10s_5g-11392.php
Tab 10 HD 4G,"TCL Tab 10 HD 4G Android tablet. Announced Feb 2022. Features 10.1″  display, MT8768E chipset, 5500 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-hd-4g.jpg,https://www.gsmarena.com/tcl_tab_10_hd_4g-11393.php
30 LE,"TCL 30 LE Android smartphone. Announced Jul 2022. Features 6.1″  display, MT6761V Helio A22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tcl-30-le.jpg,https://www.gsmarena.com/tcl_30_le-12567.php
