title,extended_title,img_link,gsmarena_link
Phantom V Fold2,"Tecno Phantom V Fold2 Android smartphone. Announced Sep 2024. Features 7.85″  display, Dimensity 9000+ chipset, 5750 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-fold2-.jpg,https://www.gsmarena.com/tecno_phantom_v_fold2-13334.php
Phantom V Flip2,"Tecno Phantom V Flip2 Android smartphone. Announced Sep 2024. Features 6.9″  display, Dimensity 8020 chipset, 4720 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-flip2-5g-.jpg,https://www.gsmarena.com/tecno_phantom_v_flip2-13335.php
Pova 6 Neo 5G,"Tecno Pova 6 Neo 5G Android smartphone. Announced Sep 2024. Features 6.67″  display, Dimensity 6300 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-6-neo-5g.jpg,https://www.gsmarena.com/tecno_pova_6_neo_5g-13326.php
Spark 30C,"Tecno Spark 30C Android smartphone. Announced Sep 2024. Features 6.67″  display, Helio G81 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-30c.jpg,https://www.gsmarena.com/tecno_spark_30c-13310.php
Spark Go 1,"Tecno Spark Go 1 Android smartphone. Announced Aug 2024. Features 6.67″  display, Unisoc T615 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go1.jpg,https://www.gsmarena.com/tecno_spark_go_1-13274.php
Camon 30S Pro,"Tecno Camon 30S Pro Android smartphone. Announced Jul 2024. Features 6.78″  display, Helio G100 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-30s-pro.jpg,https://www.gsmarena.com/tecno_camon_30s_pro-13242.php
Spark 20P,"Tecno Spark 20P Android smartphone. Announced Jun 2024. Features 6.6″  display, Mediatek chipset, 5000 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20p-r.jpg,https://www.gsmarena.com/tecno_spark_20p-13125.php
Spark 20 Pro 5G,"Tecno Spark 20 Pro 5G Android smartphone. Announced Jun 2024. Features 6.78″  display, Dimensity 6080 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20-pro-5g.jpg,https://www.gsmarena.com/tecno_spark_20_pro_5g-13124.php
Pova 6 Neo,"Tecno Pova 6 Neo Android smartphone. Announced Apr 2024. Features 6.78″  display, Helio G99 Ultimate chipset, 7000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-6-neo.jpg,https://www.gsmarena.com/tecno_pova_6_neo-12911.php
Pova 6,"Tecno Pova 6 Android smartphone. Announced Apr 2024. Features 6.78″  display, Helio G99 Ultimate chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-6.jpg,https://www.gsmarena.com/tecno_pova_6-12910.php
Camon 30 Premier,"Tecno Camon 30 Premier Android smartphone. Announced Feb 2024. Features 6.77″  display, Dimensity 8200 Ultimate chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-30-premier-5g.jpg,https://www.gsmarena.com/tecno_camon_30_premier-12845.php
Camon 30 Pro,"Tecno Camon 30 Pro Android smartphone. Announced Feb 2024. Features 6.78″  display, Dimensity 8200 Ultimate chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-30-pro-new.jpg,https://www.gsmarena.com/tecno_camon_30_pro-12846.php
Camon 30 5G,"Tecno Camon 30 5G Android smartphone. Announced Feb 2024. Features 6.78″  display, Dimensity 7020 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-30-5g.jpg,https://www.gsmarena.com/tecno_camon_30_5g-12847.php
Camon 30,"Tecno Camon 30 Android smartphone. Announced Feb 2024. Features 6.78″  display, Helio G99 Ultimate chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/tecno-camon30.jpg,https://www.gsmarena.com/tecno_camon_30-12848.php
