title,extended_title,img_link,gsmarena_link
t800,"Telit t800 phone. Announced Q1 2006. Features TFT, 256K colors display, 2 MP primary camera, 860 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,https://www.gsmarena.com/telit_t800-1549.php
t250,"Telit t250 phone. Announced Q1 2006. Features TFT, 256K colors display, 800 mAh battery, 7 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,https://www.gsmarena.com/telit_t250-1548.php
t650,"Telit t650 phone. Announced Q1 2006. Features TFT, 256K colors display, 800 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,https://www.gsmarena.com/telit_t650-1547.php
t200,"Telit t200 phone. Announced Q1 2006. Features TFT, 256K colors display, 730 mAh battery, 7 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,https://www.gsmarena.com/telit_t200-1546.php
GU1100,"Telit GU1100 phone. Announced Q3 2005. Features TFT, 256K colors display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,https://www.gsmarena.com/telit_gu1100-1540.php
SP600,"Telit SP600 Windows Mobile smartphone. Announced Q2 2005. Features TFT, 65K colors display, 1.3 MP primary camera, 1000 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,https://www.gsmarena.com/telit_sp600-1539.php
t550,"Telit t550 phone. Announced Q1 2005. Features TFT, 256K colors display, 1.3 MP primary camera, 860 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,https://www.gsmarena.com/telit_t550-1538.php
t420,"Telit t420 phone. Announced Q1 2005. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,https://www.gsmarena.com/telit_t420-1537.php
t180,"Telit t180 phone. Announced Q2 2006. Features CSTN, 65K colors display, 650 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,https://www.gsmarena.com/telit_t180-1661.php
t410,"Telit t410 phone. Announced Q1 2005. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,https://www.gsmarena.com/telit_t410-1536.php
t130,"Telit t130 phone. Announced Q2 2006. Features 1.37″  display, 800 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t130.gif,https://www.gsmarena.com/telit_t130-1581.php
t110,"Telit t110 phone. Announced Q1 2005. Features 1.8″  display, 800 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t110.gif,https://www.gsmarena.com/telit_t110-1535.php
t210,"Telit t210 phone. Announced Q1 2005. Features 1.8″  display, 1.3 MP primary camera, 800 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t210.gif,https://www.gsmarena.com/telit_t210-1534.php
T510,"Telit T510 phone. Announced Q1 2005. Features 1.8″  display, 650 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-t510.gif,https://www.gsmarena.com/telit_t510-1244.php
C1000,"Telit C1000 phone. Announced Q1 2005. Features TFT resistive touchscreen, 256K colors display, 920 mAh battery, 6 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/telit-c1000.gif,https://www.gsmarena.com/telit_c1000-1243.php
T91,"Telit T91 phone. Announced Q3 2004. Features TFT, 65K colors display, 720 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/tet91.gif,https://www.gsmarena.com/telit_t91-863.php
T90,"Telit T90 phone. Announced Q3 2004. Features TFT, 65K colors display, 720 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/tet90.gif,https://www.gsmarena.com/telit_t90-862.php
NEO,"Telit NEO phone. Announced Q2 2004. Features TFT, 65K colors display, 720 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/teneo.gif,https://www.gsmarena.com/telit_neo-793.php
X60i,"Telit X60i phone. Announced Q2 2004. Features CSTN, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tex60i.gif,https://www.gsmarena.com/telit_x60i-792.php
G90,"Telit G90 Windows Mobile smartphone. Announced Q4 2003. Features 2.2″  display, 1000 mAh battery, 16 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/teg90.gif,https://www.gsmarena.com/telit_g90-578.php
G83,"Telit G83 phone. Announced Q4 2003. Features TFT, 65K colors display, 780 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/teg83.gif,https://www.gsmarena.com/telit_g83-577.php
G80,"Telit G80 phone. Announced Nov 2002. Features CSTN, 65K colors display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/teg80.gif,https://www.gsmarena.com/telit_g80-362.php
G82,"Telit G82 phone. Announced  2002. Features CSTN, 4096 colors display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/teg82.gif,https://www.gsmarena.com/telit_g82-361.php
G40,"Telit G40 phone. Announced Q2 2003. Features Monochrome graphic display, 610 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/teg40.gif,https://www.gsmarena.com/telit_g40-442.php
GM 882,"Telit GM 882 phone. Announced  2002. Features Monochrome graphic display, 550 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tegm882.gif,https://www.gsmarena.com/telit_gm_882-360.php
GM 830,"Telit GM 830 phone. Announced  1999. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tegm830b.gif,https://www.gsmarena.com/telit_gm_830-189.php
GM 810,"Telit GM 810 phone. Announced  1999. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tegm810b.gif,https://www.gsmarena.com/telit_gm_810-188.php
Estremo,"Telit Estremo phone. Announced  1999. Features Monochrome graphic display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/teestreb.gif,https://www.gsmarena.com/telit_estremo-187.php
GM 710,"Telit GM 710 phone. Announced  1999. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tegm710b.gif,https://www.gsmarena.com/telit_gm_710-186.php
GM 410,"Telit GM 410 phone. Announced  1999. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/tegm410b.gif,https://www.gsmarena.com/telit_gm_410-185.php
