title,extended_title,img_link,gsmarena_link
Excite Go,"Toshiba Excite Go Android tablet. Announced May 2014. Features 7.0″  display, Intel Atom Z3735G chipset, 3500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg,https://www.gsmarena.com/toshiba_excite_go-6466.php
Excite 7c AT7-B8,"Toshiba Excite 7c AT7-B8 Android tablet. Announced Feb 2014. Features 7.0″  display, Rockchip RK3168 chipset, 3500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg,https://www.gsmarena.com/toshiba_excite_7c_at7_b8-6467.php
Excite Pro,"Toshiba Excite Pro Android tablet. Announced Jun 2013. Features 10.1″  display, Nvidia Tegra 4 chipset, 8 MP primary camera, 1.2 MP front camera, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg,https://www.gsmarena.com/toshiba_excite_pro-5500.php
Excite Write,"Toshiba Excite Write Android tablet. Announced Jun 2013. Features 10.1″  display, Nvidia Tegra 4 chipset, 8 MP primary camera, 1.2 MP front camera, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg,https://www.gsmarena.com/toshiba_excite_write-5501.php
Excite Pure,"Toshiba Excite Pure Android tablet. Announced Jun 2013. Features 10.1″  display, Nvidia Tegra 3 chipset, 1.2 MP primary camera, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg,https://www.gsmarena.com/toshiba_excite_pure-5502.php
Excite 10 SE,"Toshiba Excite 10 SE Android tablet. Announced Dec 2012. Features 10.1″  display, Nvidia Tegra 3 chipset, 3.15 MP primary camera, 1.2 MP front camera, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg,https://www.gsmarena.com/toshiba_excite_10_se-5154.php
Excite 13 AT335,"Toshiba Excite 13 AT335 Android tablet. Announced Apr 2012. Features 13.3″  display, Nvidia Tegra 3 chipset, 5 MP primary camera, 2 MP front camera, 64 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg,https://www.gsmarena.com/toshiba_excite_13_at335-4691.php
Excite 10 AT305,"Toshiba Excite 10 AT305 Android tablet. Announced Apr 2012. Features 10.1″  display, Nvidia Tegra 3 chipset, 5 MP primary camera, 2 MP front camera, 64 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg,https://www.gsmarena.com/toshiba_excite_10_at305-4692.php
Excite 7.7 AT275,"Toshiba Excite 7.7 AT275 Android tablet. Announced Apr 2012. Features 7.7″  display, Nvidia Tegra 3 chipset, 5 MP primary camera, 2 MP front camera, 64 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg,https://www.gsmarena.com/toshiba_excite_7_7_at275-4693.php
Excite AT200,"Toshiba Excite AT200 Android tablet. Announced Sep 2011. Features 10.1″  display, TI OMAP 4430 chipset, 5 MP primary camera, 2 MP front camera, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg,https://www.gsmarena.com/toshiba_excite_at200-4400.php
