title,extended_title,img_link,gsmarena_link
Armor 28 Ultra,"Ulefone Armor 28 Ultra Android smartphone. Announced Sep 2024. Features 6.67″  display, Dimensity 9300+ chipset, 10600 mAh battery, 512 GB storage, 16 GB RAM, MIL-STD-810H compliant, Unspecified.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-28-ultra.jpg,https://www.gsmarena.com/ulefone_armor_28_ultra-13297.php
Armor Mini 20T Pro,"Ulefone Armor Mini 20T Pro Android smartphone. Announced Sep 2024. Features 4.7″  display, Dimensity 6300 chipset, 6200 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini-20t-pro.jpg,https://www.gsmarena.com/ulefone_armor_mini_20t_pro-13298.php
Armor 27 Pro,"Ulefone Armor 27 Pro Android smartphone. Announced Aug 2024. Features 6.78″  display, Dimensity 6300 chipset, 10600 mAh battery, 256 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-27-pro--.jpg,https://www.gsmarena.com/ulefone_armor_27_pro-13245.php
Armor 27T Pro,"Ulefone Armor 27T Pro Android smartphone. Announced Aug 2024. Features 6.78″  display, Dimensity 6300 chipset, 10600 mAh battery, 256 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-27t-pro.jpg,https://www.gsmarena.com/ulefone_armor_27t_pro-13244.php
Armor 25T,"Ulefone Armor 25T Android smartphone. Announced Jul 2024. Features 6.78″  display, Helio G99 chipset, 6500 mAh battery, 256 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-25t.jpg,https://www.gsmarena.com/ulefone_armor_25t-13211.php
Tab A11 Pro,"Ulefone Tab A11 Pro Android tablet. Announced Jun 2024. Features 11.0″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a11-pro.jpg,https://www.gsmarena.com/ulefone_tab_a11_pro-13195.php
Armor 25T Pro,"Ulefone Armor 25T Pro Android smartphone. Announced May 2024. Features 6.78″  display, Dimensity 6300 chipset, 6500 mAh battery, 256 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-25t-pro.jpg,https://www.gsmarena.com/ulefone_armor_25t_pro-13115.php
Note 18 Ultra,"Ulefone Note 18 Ultra Android smartphone. Announced May 2024. Features 6.78″  display, Dimensity 720 chipset, 5450 mAh battery, 256 GB storage, 6 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-18-ultra.jpg,https://www.gsmarena.com/ulefone_note_18_ultra-13059.php
Armor 26 Ultra,"Ulefone Armor 26 Ultra Android smartphone. Announced Apr 2024. Features 6.78″  display, Dimensity 8020 chipset, 15600 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-26-ultra.jpg,https://www.gsmarena.com/ulefone_armor_26_ultra-12979.php
Armor 26 Ultra Walkie-talkie,"Ulefone Armor 26 Ultra Walkie-talkie Android smartphone. Announced Apr 2024. Features 6.78″  display, Dimensity 8020 chipset, 15600 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-26-ultra-wt.jpg,https://www.gsmarena.com/ulefone_armor_26_ultra_walkie_talkie-12980.php
