title,extended_title,img_link,gsmarena_link
G9A,"Umidigi G9A Android smartphone. Announced Sep 2024. Features 6.75″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9a.jpg,https://www.gsmarena.com/umidigi_g9a-13323.php
G9C,"Umidigi G9C Android smartphone. Announced Sep 2024. Features 6.75″  display, Helio G36 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9c.jpg,https://www.gsmarena.com/umidigi_g9c-13324.php
G9T,"Umidigi G9T Android smartphone. Announced Sep 2024. Features 6.75″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9t.jpg,https://www.gsmarena.com/umidigi_g9t-13325.php
G7 Tab Pro,"Umidigi G7 Tab Pro Android tablet. Announced Sep 2024. Features 11.0″  display, Helio G99 chipset, 8000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g7-tab-pro.jpg,https://www.gsmarena.com/umidigi_g7_tab_pro-13330.php
G9 Tab,"Umidigi G9 Tab Android tablet. Announced Sep 2024. Features 11.0″  display, Unisoc T606 chipset, 7200 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9-tab.jpg,https://www.gsmarena.com/umidigi_g9_tab-13331.php
G9 5G,"Umidigi G9 5G Android smartphone. Announced Jul 2024. Features 6.75″  display, Unisoc T765 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9.jpg,https://www.gsmarena.com/umidigi_g9_5g-13284.php
G6 5G,"Umidigi G6 5G Android smartphone. Announced  2024. Features 6.57″  display, Dimensity 6100+ chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g6.jpg,https://www.gsmarena.com/umidigi_g6_5g-13012.php
A15T,"Umidigi A15T Android smartphone. Announced  2024. Features 6.7″  display, Helio G95 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-a15t.jpg,https://www.gsmarena.com/umidigi_a15t-13013.php
Bison X20,"Umidigi Bison X20 Android smartphone. Announced  2024. Features 6.53″  display, Helio P60 chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-bison-x20.jpg,https://www.gsmarena.com/umidigi_bison_x20-13014.php
G1 Tab Mini,"Umidigi G1 Tab Mini Android tablet. Announced  2024. Features 8.0″  display, RK3562 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/umidigi-g1-tab-mini.jpg,https://www.gsmarena.com/umidigi_g1_tab_mini-13034.php
