title,extended_title,img_link,gsmarena_link
Bolt,"Unnecto Bolt Android smartphone. Announced Jun 2016. Features 5.0″  display, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg,https://www.gsmarena.com/unnecto_bolt-8283.php
Neo V,"Unnecto Neo V Android smartphone. Announced May 2016. Features 5.0″  display, 8 MP primary camera, 1.3 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg,https://www.gsmarena.com/unnecto_neo_v-8282.php
Quattro S,"Unnecto Quattro S Android smartphone. Announced May 2016. Features 4.0″  display, 5 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg,https://www.gsmarena.com/unnecto_quattro_s-8281.php
Quattro V,"Unnecto Quattro V Android smartphone. Announced May 2016. Features 4.0″  display, 5 MP primary camera, 1.3 MP front camera, 1600 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg,https://www.gsmarena.com/unnecto_quattro_v-8280.php
Drone XS,"Unnecto Drone XS Android smartphone. Announced May 2016. Features 3.5″  display, 3 MP primary camera, 1.3 MP front camera, 1100 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg,https://www.gsmarena.com/unnecto_drone_xs-8279.php
Primo 2G,"Unnecto Primo 2G phone. Announced Mar 2016. Features 1.8″  display, 1 MP primary camera, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg,https://www.gsmarena.com/unnecto_primo_2g-8278.php
Omnia,"Unnecto Omnia Android smartphone. Announced Jan 2015. Features 5.0″  display, 8 MP primary camera, 3 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg,https://www.gsmarena.com/unnecto_omnia-7888.php
Swift,"Unnecto Swift Android smartphone. Announced Jan 2015. Features 4.0″  display, 5 MP primary camera, 1600 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg,https://www.gsmarena.com/unnecto_swift-7887.php
Quattro X,"Unnecto Quattro X Android smartphone. Announced Jan 2015. Features 4.0″  display, 5 MP primary camera, 1600 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg,https://www.gsmarena.com/unnecto_quattro_x-7021.php
Drone XL,"Unnecto Drone XL Android smartphone. Announced Jan 2015. Features 3.5″  display, 3.15 MP primary camera, 1100 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg,https://www.gsmarena.com/unnecto_drone_xl-7020.php
