title,extended_title,img_link,gsmarena_link
Signature Touch (2015),"Vertu Signature Touch (2015) Android smartphone. Announced Sep 2015. Features 5.2″  display, Snapdragon 810 chipset, 21 MP primary camera, 2.1 MP front camera, 3160 mAh battery, 64 GB storage, 4 GB RAM, Sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg,https://www.gsmarena.com/vertu_signature_touch_(2015)-7586.php
Aster,"Vertu Aster Android smartphone. Announced Oct 2014. Features 4.7″  display, Snapdragon 801 chipset, 13 MP primary camera, 2.1 MP front camera, 2275 mAh battery, 64 GB storage, 2 GB RAM, Sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg,https://www.gsmarena.com/vertu_aster-6726.php
Signature Touch,"Vertu Signature Touch Android smartphone. Announced Jun 2014. Features 4.7″  display, Snapdragon 801 chipset, 13 MP primary camera, 2.1 MP front camera, 2275 mAh battery, 64 GB storage, 2 GB RAM, Scratch-proof glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg,https://www.gsmarena.com/vertu_signature_touch-6374.php
Constellation 2013,"Vertu Constellation 2013 Android smartphone. Announced Oct 2013. Features 4.3″  display, 13 MP primary camera, 1.3 MP front camera, 1800 mAh battery, 32 GB storage, Scratch-proof glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg,https://www.gsmarena.com/vertu_constellation_2013-5868.php
Ti,"Vertu Ti Android smartphone. Announced Feb 2013. Features 3.7″  display, 8 MP primary camera, 1.3 MP front camera, 64 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg,https://www.gsmarena.com/vertu_ti-5297.php
Constellation,"Vertu Constellation Symbian smartphone. Announced Oct 2011. Features 3.5″  display, 8 MP primary camera, 1200 mAh battery, Shatter proof sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg,https://www.gsmarena.com/vertu_constellation-4263.php
Ascent Ferrari GT,"Vertu Ascent Ferrari GT phone. Announced Jan 2011. Features 2.0″  display, 5 MP primary camera, 32 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg,https://www.gsmarena.com/vertu_ascent_ferrari_gt-3721.php
Constellation Quest,"Vertu Constellation Quest Symbian smartphone. Announced Oct 2010. Features 2.46″  display, 5 MP primary camera, 1500 mAh battery, 8 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg,https://www.gsmarena.com/vertu_constellation_quest-3590.php
Ascent 2010,"Vertu Ascent 2010 phone. Announced Apr 2010. Features 2.0″  display, 5 MP primary camera, 32 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg,https://www.gsmarena.com/vertu_ascent_2010-3264.php
Constellation Ayxta,"Vertu Constellation Ayxta phone. Announced Sep 2009. Features 2.4″  display, 3.15 MP primary camera, 1000 mAh battery, 100 MB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg,https://www.gsmarena.com/vertu_constellation_ayxta-2990.php
Ascent Ti Damascus Steel,"Vertu Ascent Ti Damascus Steel phone. Announced Jun 2009. Features 2.0″  display, 3.15 MP primary camera, 950 mAh battery, 4 GB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti-damascus-steel.jpg,https://www.gsmarena.com/vertu_ascent_ti_damascus_steel-2822.php
Signature S,"Vertu Signature S phone. Announced  2007. Features 2.0″  display, 950 mAh battery, 4 GB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-s.jpg,https://www.gsmarena.com/vertu_signature_s-2753.php
Ascent Ti,"Vertu Ascent Ti phone. Announced Jul 2007. Features 2.0″  display, 3.15 MP primary camera, 950 mAh battery, 4 GB storage, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti.jpg,https://www.gsmarena.com/vertu_ascent_ti-2752.php
Constellation 2006,"Vertu Constellation 2006 phone. Announced Oct 2006. Features TFT, 256K colors display, 800 mAh battery, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu_constellation.gif,https://www.gsmarena.com/vertu_constellation_2006-1766.php
Diamond,"Vertu Diamond phone. Announced  2005. Features  display, 1000 mAh battery, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu_diamond.gif,https://www.gsmarena.com/vertu_diamond-1541.php
Ascent,"Vertu Ascent phone. Announced  2004. Features  display, 780 mAh battery, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu_ascent.gif,https://www.gsmarena.com/vertu_ascent-1219.php
Signature,"Vertu Signature phone. Announced  2003. Features TFD, 4096 colors display, 950 mAh battery, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/vertu_signature.gif,https://www.gsmarena.com/vertu_signature-1218.php
