title,extended_title,img_link,gsmarena_link
s5702 Royale Quattro,"verykool s5702 Royale Quattro Android smartphone. Announced Feb 2018. Features 5.7″  display, MT6580 chipset, Dual: 13 MP (AF) + 2 MP primary camera, Dual: 5 MP + 2 MP front camera, 3200 mAh battery, 16 GB storage, 2 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg,https://www.gsmarena.com/verykool_s5702_royale_quattro-9101.php
s5037 Apollo Quattro,"verykool s5037 Apollo Quattro Android smartphone. Announced Feb 2018. Features 5.0″  display, MT6580 chipset, Dual: 13 MP (AF) + 2 MP primary camera, Dual: 5 MP + 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg,https://www.gsmarena.com/verykool_s5037_apollo_quattro-9100.php
s5036 Apollo,"verykool s5036 Apollo Android smartphone. Announced Feb 2018. Features 5.0″  display, MT6580M chipset, Dual: 8 MP (AF) + 2 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg,https://www.gsmarena.com/verykool_s5036_apollo-9099.php
s5200 Orion,"verykool s5200 Orion Android smartphone. Announced Dec 2017. Features 5.2″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg,https://www.gsmarena.com/verykool_s5200_orion-8988.php
s5031 Bolt Turbo,"verykool s5031 Bolt Turbo Android smartphone. Announced Nov 2017. Features 5.0″  display, MT6580 chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg,https://www.gsmarena.com/verykool_s5031_bolt_turbo-8955.php
sl5029 Bolt Pro LTE,"verykool sl5029 Bolt Pro LTE Android smartphone. Announced Nov 2017. Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg,https://www.gsmarena.com/verykool_sl5029_bolt_pro_lte-8940.php
s5029 Bolt Pro,"verykool s5029 Bolt Pro Android smartphone. Announced Nov 2017. Features 5.0″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg,https://www.gsmarena.com/verykool_s5029_bolt_pro-8935.php
s5205 Orion Pro,"verykool s5205 Orion Pro Android smartphone. Announced Nov 2017. Features 5.2″  display, MT6580 chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg,https://www.gsmarena.com/verykool_s5205_orion_pro-8934.php
s6005X Cyprus Pro,"verykool s6005X Cyprus Pro Android smartphone. Announced Nov 2017. Features 6.0″  display, MT6580 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg,https://www.gsmarena.com/verykool_s6005x_cyprus_pro-8933.php
s5527 Alpha Pro,"verykool s5527 Alpha Pro Android smartphone. Announced Aug 2017. Features 5.5″  display, MT6580 chipset, 13 MP primary camera, 8 MP front camera, 2800 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg,https://www.gsmarena.com/verykool_s5527_alpha_pro-8828.php
s5528 Cosmo,"verykool s5528 Cosmo Android smartphone. Announced Aug 2017. Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5528.jpg,https://www.gsmarena.com/verykool_s5528_cosmo-8827.php
SL5565 Rocket,"verykool SL5565 Rocket Android smartphone. Announced Aug 2017. Features 5.5″  display, MT6737 chipset, 13 MP primary camera, 8 MP front camera, 2700 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-SL5565.jpg,https://www.gsmarena.com/verykool_sl5565_rocket-8800.php
T7445,"verykool T7445 Android tablet. Announced Jun 2017. Features 7.0″  display, MT8321 chipset, 5 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-t7445.jpg,https://www.gsmarena.com/verykool_t7445-8730.php
s4009 Crystal,"verykool s4009 Crystal Android smartphone. Announced Jun 2017. Features 4.0″  display, MT6570 chipset, 5 MP primary camera, 2 MP front camera, 1200 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s4009.jpg,https://www.gsmarena.com/verykool_s4009_crystal-8729.php
s5526 Alpha,"verykool s5526 Alpha Android smartphone. Announced May 2017. Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5526.jpg,https://www.gsmarena.com/verykool_s5526_alpha-8690.php
s5034 Spear Jr.,"verykool s5034 Spear Jr. Android smartphone. Announced May 2017. Features 5.0″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2050 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5034.jpg,https://www.gsmarena.com/verykool_s5034_spear_jr_-8691.php
s5035 Spear,"verykool s5035 Spear Android smartphone. Announced Apr 2017. Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5035.jpg,https://www.gsmarena.com/verykool_s5035_spear-8657.php
s5028 Bolt,"verykool s5028 Bolt Android smartphone. Announced Apr 2017. Features 5.0″  display, Spreadtrum SC7731C chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5027-s5028.jpg,https://www.gsmarena.com/verykool_s5028_bolt-8656.php
s5027 Bolt Pro,"verykool s5027 Bolt Pro Android smartphone. Announced Apr 2017. Features 5.0″  display, Spreadtrum SC7731C chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5027-s5028.jpg,https://www.gsmarena.com/verykool_s5027_bolt_pro-8655.php
s5007 Lotus Plus,"verykool s5007 Lotus Plus Android smartphone. Announced Apr 2017. Features 5.0″  display, Spreadtrum SC7731C chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5007.jpg,https://www.gsmarena.com/verykool_s5007_lotus_plus-8654.php
s4513 Luna II,"verykool s4513 Luna II Android smartphone. Announced Mar 2017. Features 4.5″  display, Spreadtrum SC7731C chipset, 5 MP primary camera, 2 MP front camera, 1700 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s4513.jpg,https://www.gsmarena.com/verykool_s4513_luna_ii-8626.php
SL5560 Maverick Pro,"verykool SL5560 Maverick Pro Android smartphone. Announced Feb 2017. Features 5.5″  display, MT6737 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5560.jpg,https://www.gsmarena.com/verykool_sl5560_maverick_pro-8566.php
s5021 Wave Pro,"verykool s5021 Wave Pro Android smartphone. Announced Feb 2017. Features 5.0″  display, Spreadtrum SC7731C chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5021.jpg,https://www.gsmarena.com/verykool_s5021_wave_pro-8563.php
s5019 Wave,"verykool s5019 Wave Android smartphone. Announced Feb 2017. Features 5.0″  display, Spreadtrum SC7731C chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s5021.jpg,https://www.gsmarena.com/verykool_s5019_wave-8564.php
s4008 Leo V,"verykool s4008 Leo V Android smartphone. Announced Nov 2016. Features 4.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/verykool-s4008.jpg,https://www.gsmarena.com/verykool_s4008_leo_v-8478.php
Sl5200 Eclipse,"verykool Sl5200 Eclipse Android smartphone. Announced Nov 2016. Features 5.2″  display, MT6753 chipset, 16 MP primary camera, 8 MP front camera, 2900 mAh battery, 16 GB storage, 2 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5200.jpg,https://www.gsmarena.com/verykool_sl5200_eclipse-8442.php
sl5050 Phantom,"verykool sl5050 Phantom Android smartphone. Announced Nov 2016. Features 5.0″  display, MT6737 chipset, 16 MP primary camera, 8 MP front camera, 2500 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5050.jpg,https://www.gsmarena.com/verykool_sl5050_phantom-8418.php
