title,extended_title,img_link,gsmarena_link
VK2030,"VK Mobile VK2030 phone. Announced Dec 2007. Features 1.8″  display, 1.3 MP primary camera, 710 mAh battery, 256 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vk-2030.jpg,https://www.gsmarena.com/vk_mobile_vk2030-2194.php
VK2200,"VK Mobile VK2200 phone. Announced Mar 2006. Features 1.66″  display, 4 MP primary camera, 800 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2200.gif,https://www.gsmarena.com/vk_mobile_vk2200-1512.php
VK7000,"VK Mobile VK7000 phone. Announced Mar 2006. Features 1.8″  display, 1.3 MP primary camera, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk7000.gif,https://www.gsmarena.com/vk_mobile_vk7000-1514.php
VK5000,"VK Mobile VK5000 phone. Announced Mar 2006. Features 1.5″  display, 1.3 MP primary camera, 800 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk5000.gif,https://www.gsmarena.com/vk_mobile_vk5000-1513.php
VK300,"VK Mobile VK300 phone. Announced Jul 2005. Features 1.8″  display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk300.gif,https://www.gsmarena.com/vk_mobile_vk300-1826.php
VK4000,"VK Mobile VK4000 phone. Announced Mar 2006. Features 1.8″  display, 800 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4000.gif,https://www.gsmarena.com/vk_mobile_vk4000-1516.php
VK4100,"VK Mobile VK4100 phone. Announced Mar 2006. Features 1.8″  display, 800 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4100.gif,https://www.gsmarena.com/vk_mobile_vk4100-1517.php
VK2020,"VK Mobile VK2020 phone. Announced Feb 2006. Features OLED, 256K colors display, 1000 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,https://www.gsmarena.com/vk_mobile_vk2020-1493.php
VK200,"VK Mobile VK200 phone. Announced Feb 2006. Features CSTN, 65K colors display, 1000 mAh battery, 20 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk200.gif,https://www.gsmarena.com/vk_mobile_vk200-1492.php
VK4500,"VK Mobile VK4500 phone. Announced Q4 2005. Features 2.0″  display, 1.3 MP primary camera, 620 mAh battery, 100 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4500.gif,https://www.gsmarena.com/vk_mobile_vk4500-1397.php
VK3100,"VK Mobile VK3100 phone. Announced Q4 2005. Features 2.2″  display, 720 mAh battery, 54 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk3100.gif,https://www.gsmarena.com/vk_mobile_vk3100-1396.php
VK2100,"VK Mobile VK2100 phone. Announced Q4 2005. Features OLED, 256K colors display, 790 mAh battery, 2 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif,https://www.gsmarena.com/vk_mobile_vk2100-1395.php
VK2010,"VK Mobile VK2010 phone. Announced Q4 2005. Features OLED, 256K colors display, 790 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif,https://www.gsmarena.com/vk_mobile_vk2010-1394.php
VK1500,"VK Mobile VK1500 phone. Announced Q4 2005. Features TFT, 256K colors display, 1.3 MP primary camera, 940 mAh battery, 100 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1500.gif,https://www.gsmarena.com/vk_mobile_vk1500-1393.php
VK1100,"VK Mobile VK1100 phone. Announced Feb 2006. Features CSTN, 65K colors display, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1100.gif,https://www.gsmarena.com/vk_mobile_vk1100-1515.php
VK1020,"VK Mobile VK1020 phone. Announced Q4 2005. Features STN, 65K colors display, 970 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1020.gif,https://www.gsmarena.com/vk_mobile_vk1020-1392.php
VK1010,"VK Mobile VK1010 phone. Announced Q4 2005. Features STN, 65K colors display, 970 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1010.gif,https://www.gsmarena.com/vk_mobile_vk1010-1391.php
VK1000,"VK Mobile VK1000 phone. Announced Q4 2005. Features STN, 65K colors display, 970 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1000.gif,https://www.gsmarena.com/vk_mobile_vk1000-1390.php
VK2000,"VK Mobile VK2000 phone. Announced Q3 2005. Features STN, 65K colors display, 760 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,https://www.gsmarena.com/vk_mobile_vk2000-1291.php
E100,"VK Mobile E100 phone. Announced Q3 2005. Features TFT, 256K colors display, 1.3 MP primary camera, 1200 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-e100.gif,https://www.gsmarena.com/vk_mobile_e100-1256.php
VK570,"VK Mobile VK570 phone. Announced Q3 2005. Features CSTN, 65K colors display, 1150 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk570.gif,https://www.gsmarena.com/vk_mobile_vk570-1254.php
VK700,"VK Mobile VK700 phone. Announced Q2 2005. Features TFT, 65K colors display, 1.3 MP primary camera, 810 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk700.gif,https://www.gsmarena.com/vk_mobile_vk700-1249.php
VK900,"VK Mobile VK900 phone. Announced Q4 2004. Features TFT, 256K colors display, 1.3 MP primary camera, 880 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/vk900.gif,https://www.gsmarena.com/vk_mobile_vk900-1026.php
VK800,"VK Mobile VK800 phone. Announced Q1 2005. Features TFT, 256K colors display, 1.3 MP primary camera, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk800.gif,https://www.gsmarena.com/vk_mobile_vk800-1027.php
VK530,"VK Mobile VK530 phone. Announced Q3 2004. Features STN, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk530.gif,https://www.gsmarena.com/vk_mobile_vk530-1028.php
VK610,"VK Mobile VK610 phone. Announced Q3 2004. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk610.gif,https://www.gsmarena.com/vk_mobile_vk610-1029.php
VK580,"VK Mobile VK580 phone. Announced Q3 2004. Features CSTN, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk580.gif,https://www.gsmarena.com/vk_mobile_vk580-1030.php
VK560,"VK Mobile VK560 phone. Announced Q3 2004. Features CSTN, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk560.gif,https://www.gsmarena.com/vk_mobile_vk560-1031.php
VK540,"VK Mobile VK540 phone. Announced Q2 2004. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk540.gif,https://www.gsmarena.com/vk_mobile_vk540-1032.php
VK520,"VK Mobile VK520 phone. Announced Q2 2004. Features CSTN, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk520.gif,https://www.gsmarena.com/vk_mobile_vk520-1033.php
VK500,"VK Mobile VK500 phone. Announced Q2 2004. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/vk500.gif,https://www.gsmarena.com/vk_mobile_vk500-1034.php
