title,extended_title,img_link,gsmarena_link
Smart V10,"Vodafone Smart V10 Android smartphone. Announced May 2019. Features 5.9″  display, Snapdragon 429 chipset, 3400 mAh battery, 32 GB storage, 3 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v10.jpg,https://www.gsmarena.com/vodafone_smart_v10-9726.php
Smart N10,"Vodafone Smart N10 Android smartphone. Announced May 2019. Features 5.67″  display, MT6761V chipset, 2920 mAh battery, 16 GB storage, 2 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n10.jpg,https://www.gsmarena.com/vodafone_smart_n10-9725.php
Smart E9,"Vodafone Smart E9 Android smartphone. Announced Dec 2018. Features 5.0″  display, MT6739 chipset, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e9.jpg,https://www.gsmarena.com/vodafone_smart_e9-9484.php
Smart X9,"Vodafone Smart X9 Android smartphone. Announced Dec 2018. Features 5.7″  display, Snapdragon 450 chipset, 3100 mAh battery, 32 GB storage, 3 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-x9.jpg,https://www.gsmarena.com/vodafone_smart_x9-9483.php
Smart N9,"Vodafone Smart N9 Android smartphone. Announced Jun 2018. Features 5.5″  display, MT6739WA chipset, 13 MP primary camera, 8 MP front camera, 2900 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-.jpg,https://www.gsmarena.com/vodafone_smart_n9-9235.php
Smart N9 lite,"Vodafone Smart N9 lite Android smartphone. Announced Jun 2018. Features 5.34″  display, MT6739WA chipset, 8 MP primary camera, 5 MP front camera, 2460 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-lite-.jpg,https://www.gsmarena.com/vodafone_smart_n9_lite-9236.php
Smart Tab N8,"Vodafone Smart Tab N8 Android tablet. Announced Jun 2017. Features 10.1″  display, MT8735B chipset, 5 MP primary camera, 2 MP front camera, 4600 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab-n8.jpg,https://www.gsmarena.com/vodafone_smart_tab_n8-8751.php
Smart E8,"Vodafone Smart E8 Android smartphone. Announced Jun 2017. Features 5.0″  display, Snapdragon 210 chipset, 5 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e8.jpg,https://www.gsmarena.com/vodafone_smart_e8-8750.php
Smart V8,"Vodafone Smart V8 Android smartphone. Announced Jun 2017. Features 5.5″  display, Snapdragon 435 chipset, 16 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 3 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v8.jpg,https://www.gsmarena.com/vodafone_smart_v8-8744.php
Smart N8,"Vodafone Smart N8 Android smartphone. Announced Jun 2017. Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2400 mAh battery, 16 GB storage, 1.5 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n8.jpg,https://www.gsmarena.com/vodafone_smart_n8-8723.php
