title,extended_title,img_link,gsmarena_link
T20,"Wiko T20 Android smartphone. Announced May 2024. Features 6.56″  display, Unisoc SC9863A1 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/wiko-t20.jpg,https://www.gsmarena.com/wiko_t20-13118.php
Hi Enjoy 60s,"Wiko Hi Enjoy 60s smartphone. Announced Nov 2023. Features 6.75″  display, Dimensity 700 chipset, 6000 mAh battery, 256 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/wiko-hi-enjoy-60s.jpg,https://www.gsmarena.com/wiko_hi_enjoy_60s-12688.php
T60,"Wiko T60 Android smartphone. Announced Jun 2023. Features 6.58″  display, MT8788V chipset, 5200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/wiko-t60.jpg,https://www.gsmarena.com/wiko_t60-12477.php
5G,"Wiko 5G smartphone. Announced Dec 2022. Features 6.78″  display, Snapdragon 695 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-5g.jpg,https://www.gsmarena.com/wiko_5g-12049.php
10,"Wiko 10 Android smartphone. Announced Sep 2022. Features 6.75″  display, MT6765 Helio G37 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-10.jpg,https://www.gsmarena.com/wiko_10-12034.php
T50,"Wiko T50 Android smartphone. Announced May 2022. Features 6.6″  display, MT6769Z Helio G85 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-t50.jpg,https://www.gsmarena.com/wiko_t50-11607.php
T10,"Wiko T10 Android smartphone. Announced May 2022. Features 6.5″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-t10.jpg,https://www.gsmarena.com/wiko_t10-11606.php
T3,"Wiko T3 Android smartphone. Announced Dec 2021. Features 6.6″  display, MT6765 Helio P35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-t3.jpg,https://www.gsmarena.com/wiko_t3-11601.php
Y62 Plus,"Wiko Y62 Plus Android smartphone. Announced Q3 2021. Features 6.1″  display, MT6761D Helio A20 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-y62plus-thumb2.jpg,https://www.gsmarena.com/wiko_y62_plus-11676.php
Y82,"Wiko Y82 Android smartphone. Announced Q3 2021. Features 6.1″  display, Unisoc SC9863A chipset, 3600 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/wiko-y82-new.jpg,https://www.gsmarena.com/wiko_y82-11681.php
