title,extended_title,img_link,gsmarena_link
Era 2X,"XOLO Era 2X Android smartphone. Announced Jan 2017. Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg,https://www.gsmarena.com/xolo_era_2x-8520.php
Era 2,"XOLO Era 2 Android smartphone. Announced Oct 2016. Features 5.0″  display, Spreadtrum SC9832A chipset, 5 MP primary camera, 5 MP front camera, 2350 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg,https://www.gsmarena.com/xolo_era_2-8395.php
Era 1X,"XOLO Era 1X Android smartphone. Announced Sep 2016. Features 5.0″  display, Spreadtrum SC9832A chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg,https://www.gsmarena.com/xolo_era_1x-8339.php
Era X,"XOLO Era X Android smartphone. Announced Feb 2016. Features 5.0″  display, Spreadtrum SC9830A chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 2 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg,https://www.gsmarena.com/xolo_era_x-7959.php
Era 4K,"XOLO Era 4K Android smartphone. Announced Feb 2016. Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 8 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg,https://www.gsmarena.com/xolo_era_4k-7958.php
Era 4G,"XOLO Era 4G Android smartphone. Announced Feb 2016. Features 5.0″  display, Spreadtrum SC9830A chipset, 5 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg,https://www.gsmarena.com/xolo_era_4g-7929.php
One HD,"XOLO One HD Android smartphone. Announced Dec 2015. Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 5 MP front camera, 2300 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg,https://www.gsmarena.com/xolo_one_hd-7872.php
Black 3GB,"XOLO Black 3GB Android smartphone. Announced Dec 2015. Features 5.5″  display, Snapdragon 615 chipset, Dual: 13 MP (f/2.0, AF) + 2 MP primary camera, 5 MP front camera, 3200 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg,https://www.gsmarena.com/xolo_black_3gb-7871.php
Black 1X,"XOLO Black 1X Android smartphone. Announced Oct 2015. Features 5.0″  display, MT6753 chipset, 13 MP primary camera, 5 MP front camera, 2400 mAh battery, 32 GB storage, 3 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg,https://www.gsmarena.com/xolo_black_1x-7729.php
Black,"XOLO Black Android smartphone. Announced Jul 2015. Features 5.5″  display, Snapdragon 615 chipset, Dual: 13 MP (AF) + 2 MP primary camera, 5 MP front camera, 3200 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg,https://www.gsmarena.com/xolo_black-7399.php
Era,"XOLO Era Android smartphone. Announced Jul 2015. Features 5.0″  display, Spreadtrum 7731 chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-era.jpg,https://www.gsmarena.com/xolo_era-7400.php
Cube 5.0,"XOLO Cube 5.0 Android smartphone. Announced Jun 2015. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 5 MP front camera, 2100 mAh battery, 8 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-cube-5.jpg,https://www.gsmarena.com/xolo_cube_5_0-7311.php
Prime,"XOLO Prime Android smartphone. Announced May 2015. Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-prime.jpg,https://www.gsmarena.com/xolo_prime-7244.php
LT2000,"XOLO LT2000 Android smartphone. Announced Jan 2015. Features 5.5″  display, Snapdragon 410 chipset, 8 MP primary camera, 2 MP front camera, 2920 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-2000.jpg,https://www.gsmarena.com/xolo_lt2000-7131.php
A1010,"XOLO A1010 Android smartphone. Announced Mar 2015. Features 5.0″  display, MT6582M chipset, 5 MP primary camera, 2500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-1010.jpg,https://www.gsmarena.com/xolo_a1010-7107.php
Win Q1000,"XOLO Win Q1000 Windows Mobile smartphone. Announced Feb 2015. Features 5.0″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000.jpg,https://www.gsmarena.com/xolo_win_q1000-7065.php
8X-1020,"XOLO 8X-1020 Android smartphone. Announced Feb 2015. Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1020.jpg,https://www.gsmarena.com/xolo_8x_1020-7064.php
Q700 Club,"XOLO Q700 Club Android smartphone. Announced Jan 2015. Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-700.jpg,https://www.gsmarena.com/xolo_q700_club-7009.php
Q520s,"XOLO Q520s Android smartphone. Announced Jan 2015. Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1820 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-520s.jpg,https://www.gsmarena.com/xolo_q520s-7010.php
Q900s Plus,"XOLO Q900s Plus Android smartphone. Announced Jun 2014. Features 4.7″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q900s-plus.jpg,https://www.gsmarena.com/xolo_q900s_plus-6887.php
Omega 5.5,"XOLO Omega 5.5 Android smartphone. Announced Dec 2014. Features 5.5″  display, MT6592M chipset, 13 MP primary camera, 2 MP front camera, 2600 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-omega-55.jpg,https://www.gsmarena.com/xolo_omega_5_5-6851.php
Omega 5.0,"XOLO Omega 5.0 Android smartphone. Announced Dec 2014. Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-omega-5.jpg,https://www.gsmarena.com/xolo_omega_5_0-6850.php
Opus 3,"XOLO Opus 3 Android smartphone. Announced Dec 2014. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-opus-3.jpg,https://www.gsmarena.com/xolo_opus_3-6844.php
Q710s,"XOLO Q710s Android smartphone. Announced Dec 2014. Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 1.3 MP front camera, 640 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q710s.jpg,https://www.gsmarena.com/xolo_q710s-6843.php
Q1020,"XOLO Q1020 Android smartphone. Announced Oct 2014. Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1020.jpg,https://www.gsmarena.com/xolo_q1020-6793.php
One,"XOLO One Android smartphone. Announced Oct 2014. Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-one.jpg,https://www.gsmarena.com/xolo_one-6743.php
Q2100,"XOLO Q2100 Android smartphone. Announced Sep 2014. Features 5.5″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q2100.jpg,https://www.gsmarena.com/xolo_q2100-6735.php
Opus HD,"XOLO Opus HD Android smartphone. Announced  2014. Features 4.99″  display, Broadcom BCM23550 chipset, 8 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-opus-hd.jpg,https://www.gsmarena.com/xolo_opus_hd-6734.php
Play 8X-1100,"XOLO Play 8X-1100 Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 2100 mAh battery, 16 GB storage, 2 GB RAM, Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1100.jpg,https://www.gsmarena.com/xolo_play_8x_1100-6652.php
Q510s,"XOLO Q510s Android smartphone. Announced Sep 2014. Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q510s.jpg,https://www.gsmarena.com/xolo_q510s-6626.php
Q700s plus,"XOLO Q700s plus Android smartphone. Announced Sep 2014. Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q700s-plus.jpg,https://www.gsmarena.com/xolo_q700s_plus-6624.php
Q1000s plus,"XOLO Q1000s plus Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6589T chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000s-plus.jpg,https://www.gsmarena.com/xolo_q1000s_plus-6623.php
Q610s,"XOLO Q610s Android smartphone. Announced Sep 2014. Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q610s.jpg,https://www.gsmarena.com/xolo_q610s-6622.php
A1000s,"XOLO A1000s Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a1000s.jpg,https://www.gsmarena.com/xolo_a1000s-6577.php
Play 8X-1200,"XOLO Play 8X-1200 Android smartphone. Announced Jul 2014. Features 5.0″  display, MT6592T chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1200.jpg,https://www.gsmarena.com/xolo_play_8x_1200-6564.php
Hive 8X-1000,"XOLO Hive 8X-1000 Android smartphone. Announced Aug 2014. Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 2 MP front camera, 1920 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/XOLO-8X-1000.jpg,https://www.gsmarena.com/xolo_hive_8x_1000-6556.php
A550S IPS,"XOLO A550S IPS Android smartphone. Announced Jul 2014. Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a550s.jpg,https://www.gsmarena.com/xolo_a550s_ips-6551.php
Q900s,"XOLO Q900s Android smartphone. Announced Jun 2014. Features 4.7″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q900s.jpg,https://www.gsmarena.com/xolo_q900s-6531.php
Q500s IPS,"XOLO Q500s IPS Android smartphone. Announced Jul 2014. Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q500s.jpg,https://www.gsmarena.com/xolo_q500s_ips-6525.php
A700s,"XOLO A700s Android smartphone. Announced Jul 2014. Features 4.5″  display, MT6572 chipset, 5 MP primary camera, 1900 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a700s.jpg,https://www.gsmarena.com/xolo_a700s-6522.php
Play 6X-1000,"XOLO Play 6X-1000 Android smartphone. Announced Jun 2014. Features 5.0″  display, MT6591 chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-play-1000.jpg,https://www.gsmarena.com/xolo_play_6x_1000-6494.php
Q2000L,"XOLO Q2000L Android smartphone. Announced May 2014. Features 5.5″  display, Broadcom BCM23550 chipset, 8 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q2000l.jpg,https://www.gsmarena.com/xolo_q2000l-6495.php
Win Q900s,"XOLO Win Q900s Windows Mobile smartphone. Announced Jun 2014. Features 4.7″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q900s-win.jpg,https://www.gsmarena.com/xolo_win_q900s-6476.php
Q1000 Opus2,"XOLO Q1000 Opus2 Android smartphone. Announced Jun 2014. Features 5.0″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000-opus2-new.jpg,https://www.gsmarena.com/xolo_q1000_opus2-6477.php
Q1011,"XOLO Q1011 Android smartphone. Announced Jun 2014. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2250 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1011.jpg,https://www.gsmarena.com/xolo_q1011-6462.php
Q1200,"XOLO Q1200 Android smartphone. Announced May 2014. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1200.jpg,https://www.gsmarena.com/xolo_q1200-6430.php
Q600s,"XOLO Q600s Android smartphone. Announced May 2014. Features 4.5″  display, Broadcom BCM23550 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q600s.jpg,https://www.gsmarena.com/xolo_q600s-6416.php
A500S Lite,"XOLO A500S Lite Android smartphone. Announced May 2014. Features 4.0″  display, MT6572 chipset, 3.15 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a500s-lite.jpg,https://www.gsmarena.com/xolo_a500s_lite-6402.php
Q900T,"XOLO Q900T Android smartphone. Announced May 2014. Features 4.7″  display, MT6589T chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q900t.jpg,https://www.gsmarena.com/xolo_q900t-6347.php
Q1010i,"XOLO Q1010i Android smartphone. Announced Mar 2014. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2250 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1010i.jpg,https://www.gsmarena.com/xolo_q1010i-6275.php
A510s,"XOLO A510s Android smartphone. Announced Mar 2014. Features 4.0″  display, MT6572 chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a510s.jpg,https://www.gsmarena.com/xolo_a510s-6257.php
Q2500,"XOLO Q2500 Android smartphone. Announced Mar 2014. Features 6.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q2500.jpg,https://www.gsmarena.com/xolo_q2500-6256.php
A500 Club,"XOLO A500 Club Android smartphone. Announced Jan 2014. Features 4.0″  display, MT6572 chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-a500.jpg,https://www.gsmarena.com/xolo_a500_club-6051.php
Q1010,"XOLO Q1010 Android smartphone. Announced Feb 2014. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2250 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1010.jpg,https://www.gsmarena.com/xolo_q1010-6050.php
Q1100,"XOLO Q1100 Android smartphone. Announced Jan 2014. Features 5.0″  display, Snapdragon 400 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-q1100.jpg,https://www.gsmarena.com/xolo_q1100-6042.php
Q700s,"XOLO Q700s Android smartphone. Announced Jan 2014. Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 1800 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q700s.jpg,https://www.gsmarena.com/xolo_q700s-5974.php
Q3000,"XOLO Q3000 Android smartphone. Announced Dec 2013. Features 5.7″  display, MT6589 chipset, 13 MP primary camera, 5 MP front camera, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q3000.jpg,https://www.gsmarena.com/xolo_q3000-5927.php
LT900,"XOLO LT900 Android smartphone. Announced Oct 2013. Features 4.3″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 1 MP front camera, 1810 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-lt900.jpg,https://www.gsmarena.com/xolo_lt900-5923.php
Q1000 Opus,"XOLO Q1000 Opus Android smartphone. Announced Dec 2013. Features 5.0″  display, BCM23550 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000-opus.jpg,https://www.gsmarena.com/xolo_q1000_opus-5906.php
Play Tegra Note,"XOLO Play Tegra Note Android tablet. Announced Dec 2013. Features 7.0″  display, Nvidia Tegra 4 chipset, 5 MP primary camera, 4100 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-tegra.jpg,https://www.gsmarena.com/xolo_play_tegra_note-5890.php
Q500,"XOLO Q500 Android smartphone. Announced Nov 2013. Features 4.0″  display, Snapdragon S4 Play chipset, 5 MP primary camera, 1450 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q500.jpg,https://www.gsmarena.com/xolo_q500-5877.php
Q800 X-Edition,"XOLO Q800 X-Edition Android smartphone. Announced Feb 2013. Features 4.5″  display, MT6589 chipset, 8 MP primary camera, 1 MP front camera, 2100 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/xolo-q800x.jpg,https://www.gsmarena.com/xolo_q800_x_edition-5845.php
