title,extended_title,img_link,gsmarena_link
Art 3S,"Yezz Art 3S Android smartphone. Announced Sep 2022. Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3s.jpg,https://www.gsmarena.com/yezz_art_3s-12101.php
Max 3 Ultra,"Yezz Max 3 Ultra Android smartphone. Announced Sep 2022. Features 6.26″  display, Unisoc SC9832E chipset, 3700 mAh battery, 32 GB storage, 2 GB RAM, INX Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-ultra.jpg,https://www.gsmarena.com/yezz_max_3_ultra-12097.php
Max 3 Plus,"Yezz Max 3 Plus Android smartphone. Announced Oct 2022. Features 6.1″  display, Unisoc SC9832E chipset, 3700 mAh battery, 32 GB storage, 2 GB RAM, INX Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-plus.jpg,https://www.gsmarena.com/yezz_max_3_plus-12098.php
Max 3,"Yezz Max 3 Android smartphone. Announced Sep 2022. Features 5.45″  display, Unisoc SC9832E chipset, 2600 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3.jpg,https://www.gsmarena.com/yezz_max_3-12099.php
Liv 3S LTE,"Yezz Liv 3S LTE Android smartphone. Announced Oct 2022. Features 5.0″  display, Unisoc SC9832E chipset, 2000 mAh battery, 16 GB storage, 2 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-3s-lte.jpg,https://www.gsmarena.com/yezz_liv_3s_lte-12100.php
Art 3 Pro,"Yezz Art 3 Pro Android smartphone. Announced Sep 2022. Features 6.49″  display, MT6769Z Helio G85 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-pro.jpg,https://www.gsmarena.com/yezz_art_3_pro-12087.php
C32,"Yezz C32 phone. Announced Aug 2022. Features 1.77″  display, Unisoc T107 chipset, 1000 mAh battery, 128 MB storage, 48 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/yezz-c32.jpg,https://www.gsmarena.com/yezz_c32-12012.php
Art 3 Lite,"Yezz Art 3 Lite Android smartphone. Announced Jun 2022. Features 6.52″  display, Unisoc SC9832E chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM, Panda Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-lite.jpg,https://www.gsmarena.com/yezz_art_3_lite-11921.php
EPIC 3,"Yezz EPIC 3 Android tablet. Announced May 2022. Features 7.0″  display, Allwinner A133 chipset, 2500 mAh battery, 32 GB storage, 2 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-epic3.jpg,https://www.gsmarena.com/yezz_epic_3-11763.php
Max 2 Ultra,"Yezz Max 2 Ultra Android smartphone. Announced May 2022. Features 6.1″  display, MT6737M chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/yezz-max-2-ultra.jpg,https://www.gsmarena.com/yezz_max_2_ultra-11682.php
