title,extended_title,img_link,gsmarena_link
Ace,"YU Ace Android smartphone. Announced Aug 2018. Features 5.45″  display, MT6739WW chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg,https://www.gsmarena.com/yu_ace-9308.php
Yureka 2,"YU Yureka 2 Android smartphone. Announced Sep 2017. Features 5.5″  display, Snapdragon 625 chipset, 16 MP primary camera, 8 MP front camera, 3930 mAh battery, 64 GB storage, 4 GB RAM, To be confirmed.",https://fdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg,https://www.gsmarena.com/yu_yureka_2-8864.php
Yunique 2,"YU Yunique 2 Android smartphone. Announced Jul 2017. Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg,https://www.gsmarena.com/yu_yunique_2-8788.php
Yureka Black,"YU Yureka Black Android smartphone. Announced Jun 2017. Features 5.0″  display, Snapdragon 430 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg,https://www.gsmarena.com/yu_yureka_black-8714.php
Yunique Plus,"YU Yunique Plus Android smartphone. Announced Aug 2016. Features 4.7″  display, Snapdragon 410 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg,https://www.gsmarena.com/yu_yunique_plus-8287.php
Yureka S,"YU Yureka S Android smartphone. Announced Aug 2016. Features 5.2″  display, Snapdragon 615 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg,https://www.gsmarena.com/yu_yureka_s-8286.php
Yunicorn,"YU Yunicorn Android smartphone. Announced May 2016. Features 5.5″  display, MT6755 Helio P10 chipset, 13 MP primary camera, 5 MP front camera, 4000 mAh battery, 32 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg,https://www.gsmarena.com/yu_yunicorn-8002.php
Yureka Note,"YU Yureka Note Android smartphone. Announced Apr 2016. Features 6.0″  display, MT6753 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM, Corning Concore Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg,https://www.gsmarena.com/yu_yureka_note-8035.php
Yutopia,"YU Yutopia Android smartphone. Announced Dec 2015. Features 5.2″  display, Snapdragon 810 chipset, 21 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM, Corning Concore Glass.",https://fdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg,https://www.gsmarena.com/yu_yutopia-7827.php
Yunique,"YU Yunique Android smartphone. Announced Sep 2015. Features 4.7″  display, Snapdragon 410 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg,https://www.gsmarena.com/yu_yunique-7554.php
Yureka Plus,"YU Yureka Plus Android smartphone. Announced Jul 2015. Features 5.5″  display, Snapdragon 615 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yureka.jpg,https://www.gsmarena.com/yu_yureka_plus-7436.php
Yuphoria,"YU Yuphoria Android smartphone. Announced May 2015. Features 5.0″  display, Snapdragon 410 chipset, 8 MP primary camera, 5 MP front camera, 2230 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yu-yuphoria-1.jpg,https://www.gsmarena.com/yu_yuphoria-7241.php
Yureka,"YU Yureka Android smartphone. Announced Jan 2015. Features 5.5″  display, Snapdragon 615 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/yureka.jpg,https://www.gsmarena.com/yu_yureka-6987.php
