title,extended_title,img_link,gsmarena_link
nubia Red Magic Nova,"ZTE nubia Red Magic Nova Android tablet. Announced Sep 2024. Features 10.9″  display, Snapdragon 8 Gen 3 chipset, 10100 mAh battery, 1024 GB storage, 24 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-nova.jpg,https://www.gsmarena.com/zte_nubia_red_magic_nova-13303.php
nubia Z60S Pro,"ZTE nubia Z60S Pro Android smartphone. Announced Jul 2024. Features 6.78″  display, Snapdragon 8 Gen 2 chipset, 5100 mAh battery, 1024 GB storage, 24 GB RAM, Longxi glass.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z60s-pro.jpg,https://www.gsmarena.com/zte_nubia_z60s_pro-13226.php
nubia Z60 Ultra Leading,"ZTE nubia Z60 Ultra Leading Android smartphone. Announced Jul 2024. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 6000 mAh battery, 1024 GB storage, 24 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z60-ultra-leading-version.jpg,https://www.gsmarena.com/zte_nubia_z60_ultra_leading-13198.php
nubia Red Magic 9S Pro+,"ZTE nubia Red Magic 9S Pro+ Android smartphone. Announced Jul 2024. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 5500 mAh battery, 1024 GB storage, 24 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-9s-pro-plus.jpg,https://www.gsmarena.com/zte_nubia_red_magic_9s_pro+-13190.php
nubia Red Magic 9S Pro,"ZTE nubia Red Magic 9S Pro Android smartphone. Announced Jul 2024. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 6500 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-9s-pro.jpg,https://www.gsmarena.com/zte_nubia_red_magic_9s_pro-13191.php
Voyage 3D,"ZTE Voyage 3D Android smartphone. Announced Jun 2024. Features 6.58″  display, Unisoc T760 chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-voyage-3d-.jpg,https://www.gsmarena.com/zte_voyage_3d-13178.php
Axon 60,"ZTE Axon 60 Android smartphone. Announced May 2024. Features 6.72″  display, Unisoc Tiger T616 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-axon-60.jpg,https://www.gsmarena.com/zte_axon_60-12988.php
Axon 60 Lite,"ZTE Axon 60 Lite Android smartphone. Announced May 2024. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-axon-60-lite.jpg,https://www.gsmarena.com/zte_axon_60_lite-12989.php
Axon 60 Ultra,"ZTE Axon 60 Ultra Android smartphone. Announced Apr 2024. Features 6.78″  display, Snapdragon 8 Gen 2 chipset, 6000 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-axon-60-ultra.jpg,https://www.gsmarena.com/zte_axon_60_ultra-12929.php
nubia Focus Pro,"ZTE nubia Focus Pro Android smartphone. Announced Feb 2024. Features 6.72″  display, Unisoc T760 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-focus-pro-5g.jpg,https://www.gsmarena.com/zte_nubia_focus_pro-12850.php
nubia Focus,"ZTE nubia Focus Android smartphone. Announced Feb 2024. Features 6.56″  display, Unisoc T760 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-focus-5g.jpg,https://www.gsmarena.com/zte_nubia_focus-12849.php
nubia Neo 2,"ZTE nubia Neo 2 Android smartphone. Announced Feb 2024. Features 6.72″  display, Unisoc T820 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-neo2-5g.jpg,https://www.gsmarena.com/zte_nubia_neo_2-12852.php
nubia Music,"ZTE nubia Music Android smartphone. Announced Feb 2024. Features 6.6″  display, Unisoc SC9863A chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-music.jpg,https://www.gsmarena.com/zte_nubia_music-12851.php
nubia Pad 3D II,"ZTE nubia Pad 3D II Android tablet. Announced Feb 2024. Features 12.1″  display, Snapdragon 8 Gen 2 chipset, 10000 mAh battery, 512 GB storage, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-pad-3d-ii.jpg,https://www.gsmarena.com/zte_nubia_pad_3d_ii-12853.php
nubia Flip,"ZTE nubia Flip Android smartphone. Announced Feb 2024. Features 6.9″  display, Snapdragon 7 Gen 1 chipset, 4310 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-flip-5g-.jpg,https://www.gsmarena.com/zte_nubia_flip-12844.php
nubia Z60 Ultra,"ZTE nubia Z60 Ultra Android smartphone. Announced Dec 2023. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 6000 mAh battery, 1024 GB storage, 24 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z60-ultra.jpg,https://www.gsmarena.com/zte_nubia_z60_ultra-12751.php
nubia Red Magic 9 Pro+,"ZTE nubia Red Magic 9 Pro+ Android smartphone. Announced Nov 2023. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 5500 mAh battery, 1024 GB storage, 24 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-9-pro-plus.jpg,https://www.gsmarena.com/zte_nubia_red_magic_9_pro+-12708.php
nubia Red Magic 9 Pro,"ZTE nubia Red Magic 9 Pro Android smartphone. Announced Nov 2023. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 6500 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-9-pro.jpg,https://www.gsmarena.com/zte_nubia_red_magic_9_pro-12709.php
Blade V50 Design 4G,"ZTE Blade V50 Design 4G Android smartphone. Announced Oct 2023. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v50-design-4g.jpg,https://www.gsmarena.com/zte_blade_v50_design_4g-12712.php
Blade V50 Vita,"ZTE Blade V50 Vita Android smartphone. Announced Sep 2023. Features 6.75″  display, Unisoc T606 chipset, 5200 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v50-vita.jpg,https://www.gsmarena.com/zte_blade_v50_vita-12692.php
