model_name,img_link,released,body,os,storage,display_size,display_res,camera_pixels,camera_pixel_unit,video_pixels,ram_size,ram_size_unit,chipset,battery_size,battery_size_unit,battery_type
alcatel 1B (2022),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2022.jpg,"Released 2022, May 31","172g, 10mm thickness",Android 11,"32GB storage, microSDXC","5.5""",,8,MP,,2,GB RAM,,3000,mAh,
alcatel 1L Pro (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-pro-2021.jpg,"Released 2021, Q2","190g, 9.7mm thickness",Android 11,"32GB storage, microSDXC","6.1""",,13,MP,,2,GB RAM,,3000,mAh,
alcatel 1 (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2021.jpg,"Released 2021, October 22","134g, 9.8mm thickness",Android 11,"8GB/16GB storage, microSDHC","5.0""",,5,MP,,1,GB RAM,,2000,mAh,
alcatel 3L (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg,"Released 2021, April 26","194g, 8.7mm thickness",Android 11,"64GB storage, microSDXC","6.52""",,48,MP,,4,GB RAM,,4000,mAh,
alcatel 1S (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021.jpg,"Released 2021, March 25","190g, 8.8mm thickness",Android 11,"32GB storage, microSDXC","6.52""",,13,MP,,3,GB RAM,,4000,mAh,
alcatel 1L (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-2021.jpg,"Released 2021, April 26","179g, 9.9mm thickness",Android 11,"32GB storage, microSDXC","6.1""",,13,MP,,2,GB RAM,,3000,mAh,
alcatel 1V (2021),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2021.jpg,"Released 2021, April","190g, 8.9mm thickness",Android 11,"32GB/64GB storage, microSDXC","6.52""",,13,MP,,2,GB RAM,,5000,mAh,
alcatel 1SE (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-se-2020.jpg,"Released 2020, October 28","175g, 8.7mm thickness",Android 10,"32GB/64GB/128GB storage, microSDXC","6.22""",,13,MP,,2-4,GB RAM,,4000,mAh,
alcatel Go Flip 4,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip-4.jpg,"Released 2021, September","133g, 19.9mm thickness",KaiOS 3.0,"4GB 512MB RAM storage, microSDHC slot","2.8""",,2,MP,,512,MB RAM,,1850,mAh,
alcatel Go Flip 3,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip3.jpg,"Released 2019, September 19","118g, 20.1mm thickness",KaiOS 2.5.2,"4GB 512MB RAM storage, microSDHC slot","2.8""",,2,MP,,512,MB RAM,,1350,mAh,
alcatel Go Flip V,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg,"Released 2019, July 11","118g, 18.7mm thickness",KaiOS 2.5.2,"8GB storage, microSDHC","2.8""",,2,MP,,1,GB RAM,,1350,mAh,
alcatel 3T10 2020,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t10-2020.jpg,"Released 2020, Q4","475g, 9.4mm thickness",Android 10,"32GB storage, microSDXC","10.1""",,5,MP,,2,GB RAM,,5500,mAh,
alcatel 3X (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg,"Released 2020, June","186g, 9.1mm thickness",Android 10,"64GB/128GB storage, microSDXC","6.52""",,16,MP,,4/6,GB RAM,,5000,mAh,
alcatel 3L (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,"Released 2020, May","165g, 8.5mm thickness",Android 10,"64GB storage, microSDXC","6.22""",,48,MP,,4,GB RAM,,4000,mAh,
alcatel 1S (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,"Released 2020, May","165g, 8.5mm thickness",Android 10,"32GB storage, microSDXC","6.22""",,13,MP,,3,GB RAM,,4000,mAh,
alcatel 1V (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,"Released 2020, May","160g, 8.9mm thickness",Android 10,"32GB storage, microSDXC","6.22""",,13,MP,,2,GB RAM,,4000,mAh,
alcatel 1B (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg,"Released 2020, May","168g, 9.9mm thickness",Android 10,"16GB/32GB storage, microSDXC","5.5""",,8,MP,,2,GB RAM,,3000,mAh,
