id,name,number_of_devices,gsmarena_link
acer-phones-59,Acer,100,https://www.gsmarena.com/acer-phones-59.php
alcatel-phones-5,alcatel,409,https://www.gsmarena.com/alcatel-phones-5.php
allview-phones-88,Allview,157,https://www.gsmarena.com/allview-phones-88.php
amazon-phones-76,Amazon,25,https://www.gsmarena.com/amazon-phones-76.php
amoi-phones-28,Amoi,47,https://www.gsmarena.com/amoi-phones-28.php
apple-phones-48,Apple,123,https://www.gsmarena.com/apple-phones-48.php
archos-phones-90,Archos,43,https://www.gsmarena.com/archos-phones-90.php
asus-phones-46,Asus,203,https://www.gsmarena.com/asus-phones-46.php
at&t-phones-57,AT&T,4,https://www.gsmarena.com/at&t-phones-57.php
benefon-phones-15,Benefon,9,https://www.gsmarena.com/benefon-phones-15.php
benq-phones-31,BenQ,35,https://www.gsmarena.com/benq-phones-31.php
benq_siemens-phones-42,BenQ-Siemens,28,https://www.gsmarena.com/benq_siemens-phones-42.php
bird-phones-34,Bird,61,https://www.gsmarena.com/bird-phones-34.php
blackberry-phones-36,BlackBerry,92,https://www.gsmarena.com/blackberry-phones-36.php
blackview-phones-116,Blackview,80,https://www.gsmarena.com/blackview-phones-116.php
blu-phones-67,BLU,369,https://www.gsmarena.com/blu-phones-67.php
bosch-phones-10,Bosch,10,https://www.gsmarena.com/bosch-phones-10.php
bq-phones-108,BQ,20,https://www.gsmarena.com/bq-phones-108.php
casio-phones-77,Casio,5,https://www.gsmarena.com/casio-phones-77.php
cat-phones-89,Cat,22,https://www.gsmarena.com/cat-phones-89.php
celkon-phones-75,Celkon,229,https://www.gsmarena.com/celkon-phones-75.php
chea-phones-24,Chea,12,https://www.gsmarena.com/chea-phones-24.php
coolpad-phones-105,Coolpad,48,https://www.gsmarena.com/coolpad-phones-105.php
cubot-phones-130,Cubot,74,https://www.gsmarena.com/cubot-phones-130.php
dell-phones-61,Dell,20,https://www.gsmarena.com/dell-phones-61.php
doogee-phones-129,Doogee,69,https://www.gsmarena.com/doogee-phones-129.php
emporia-phones-93,Emporia,15,https://www.gsmarena.com/emporia-phones-93.php
energizer-phones-106,Energizer,77,https://www.gsmarena.com/energizer-phones-106.php
ericsson-phones-2,Ericsson,40,https://www.gsmarena.com/ericsson-phones-2.php
eten-phones-40,Eten,22,https://www.gsmarena.com/eten-phones-40.php
fairphone-phones-127,Fairphone,4,https://www.gsmarena.com/fairphone-phones-127.php
fujitsu_siemens-phones-50,Fujitsu Siemens,2,https://www.gsmarena.com/fujitsu_siemens-phones-50.php
garmin_asus-phones-65,Garmin-Asus,5,https://www.gsmarena.com/garmin_asus-phones-65.php
gigabyte-phones-47,Gigabyte,63,https://www.gsmarena.com/gigabyte-phones-47.php
gionee-phones-92,Gionee,95,https://www.gsmarena.com/gionee-phones-92.php
google-phones-107,Google,33,https://www.gsmarena.com/google-phones-107.php
haier-phones-33,Haier,59,https://www.gsmarena.com/haier-phones-33.php
hmd-phones-133,HMD,16,https://www.gsmarena.com/hmd-phones-133.php
honor-phones-121,Honor,226,https://www.gsmarena.com/honor-phones-121.php
hp-phones-41,HP,41,https://www.gsmarena.com/hp-phones-41.php
htc-phones-45,HTC,290,https://www.gsmarena.com/htc-phones-45.php
